Population size,Life span (sec),Max generations,New genes probability,Mutation rate,Selection function,Crossover operator
10,10,50,0.200000,0.010000,Roulette,One point
,,,,,,
,,,,,,
Generation,Death percentage,Average fitness,Top fitness,Min fitness,Average hip1 velocity,Average knee1 velocity,Average hip2 velocity,Average knee2 velocity,Top hip1 velocity,Top knee1 velocity,Top hip2 velocity,Top knee2 velocity,Min hip1 velocity,Min knee1 velocity,Min hip2 velocity,Min knee2 velocity,Average hip1 rotation,Average knee1 rotation,Average hip2 rotation,Average knee2 rotation,Top hip1 rotation,Top knee1 rotation,Top hip2 rotation,Top knee2 rotation,Min hip1 rotation,Min knee1 rotation,Min hip2 rotation,Min knee2 rotation
1,20.000000,61.000000,102.170403,9.345157,55.384480,61.322712,59.291912,60.514221,67.656563,79.942406,70.431999,78.036194,41.114967,36.879681,42.295822,40.432945,<26.854389 | 50.319382>,<-55.600079 | -32.234879>,<-37.862270 | 50.716019>,<-49.365730 | -30.642263>,<100.836365 | 100.836365>,<-11.019981 | -11.019981>,<109.011475 | 109.011475>,<-1.414909 | -1.414909>,<-34.017838 | -34.017838>,<-105.110123 | -105.110123>,<-149.541443 | -149.541443>,<-113.572975 | -113.572975>
2,0.000000,72.000000,99.801765,43.672577,53.518105,63.811749,58.414612,60.465485,67.656563,79.942406,70.431999,78.036194,41.114967,36.879681,42.295822,50.080864,<15.415706 | 38.142612>,<-54.632366 | -32.003155>,<-22.763296 | 40.659363>,<-55.231880 | -41.229069>,<98.639008 | 98.639008>,<-11.019981 | -11.019981>,<99.075012 | 99.075012>,<-1.414909 | -1.414909>,<-34.017838 | -34.017838>,<-105.110123 | -105.110123>,<-78.921570 | -78.921570>,<-113.572975 | -113.572975>
3,0.000000,80.000000,101.188278,48.410034,51.043316,66.543350,61.312256,61.375378,67.656563,79.942406,70.431999,78.036194,39.590382,36.879681,42.295822,50.080864,<-2.584774 | 21.928463>,<-54.549480 | -35.586617>,<-10.961812 | 38.900032>,<-49.303425 | -34.505592>,<48.973785 | 48.973785>,<-11.019981 | -11.019981>,<99.075012 | 99.075012>,<-1.815697 | -1.815697>,<-34.017838 | -34.017838>,<-105.110123 | -105.110123>,<-78.921570 | -78.921570>,<-113.572975 | -113.572975>
4,0.000000,88.000000,109.838478,52.393120,51.250710,71.936325,61.589180,59.369392,67.656563,79.942406,70.431999,78.036194,39.590382,52.798260,42.295822,50.080864,<-1.959622 | 23.318714>,<-55.695240 | -39.630005>,<1.540544 | 38.858395>,<-39.307446 | -21.387342>,<48.973785 | 48.973785>,<-26.557037 | -26.557037>,<99.075012 | 99.075012>,<-1.815697 | -1.815697>,<-34.017838 | -34.017838>,<-105.110123 | -105.110123>,<-58.965961 | -58.965961>,<-113.572975 | -113.572975>
5,0.000000,91.000000,110.707664,66.367447,52.397541,72.235413,62.766724,57.959084,67.656563,79.942406,70.431999,78.036194,41.114967,55.789185,54.931152,52.998798,<1.653576 | 25.051592>,<-56.378601 | -40.099854>,<4.115396 | 46.447144>,<-42.593281 | -25.718678>,<48.973785 | 48.973785>,<-26.557037 | -26.557037>,<99.075012 | 99.075012>,<-1.815697 | -1.815697>,<-34.017838 | -34.017838>,<-105.110123 | -105.110123>,<-58.965961 | -58.965961>,<-113.572975 | -113.572975>
6,0.000000,92.000000,110.431259,70.794022,52.454536,71.263229,61.402355,55.495258,58.282829,79.942406,70.431999,76.366684,41.114967,55.789185,54.931152,52.998798,<-2.354443 | 24.489470>,<-63.538074 | -42.835163>,<1.443327 | 42.710102>,<-58.046257 | -35.942543>,<26.700592 | 26.700592>,<-26.557037 | -26.557037>,<83.129898 | 83.129898>,<-1.893044 | -1.893044>,<-34.017838 | -34.017838>,<-105.110123 | -105.110123>,<-58.965961 | -58.965961>,<-113.572975 | -113.572975>
7,0.000000,87.000000,107.268517,68.701050,52.726490,66.536674,58.868042,53.198387,58.282829,79.942406,64.773384,53.198383,41.114967,55.789185,54.931152,53.198383,<-2.354443 | 24.489470>,<-62.457306 | -49.785431>,<9.414068 | 54.839508>,<-60.359852 | -42.919495>,<26.700592 | 26.700592>,<-26.557037 | -26.557037>,<83.129898 | 83.129898>,<-1.893044 | -1.893044>,<-34.017838 | -34.017838>,<-105.110123 | -105.110123>,<-58.965961 | -58.965961>,<-113.572975 | -113.572975>
8,0.000000,92.000000,116.758514,66.326401,52.726490,66.536674,58.868042,53.198387,58.282829,79.942406,64.773384,53.198383,41.114967,55.789185,54.931152,53.198383,<1.603481 | 24.213079>,<-64.809158 | -52.594288>,<9.414069 | 54.839508>,<-60.359856 | -42.919498>,<26.700592 | 26.700592>,<-26.557037 | -26.557037>,<83.129898 | 83.129898>,<-1.893044 | -1.893044>,<-34.017838 | -34.017838>,<-105.110123 | -105.110123>,<-58.965961 | -58.965961>,<-113.572975 | -113.572975>
9,0.000000,96.000000,114.951317,58.925373,53.297253,66.232422,59.852272,53.198387,57.524597,79.942406,64.773384,53.198383,41.114967,55.789185,54.931152,53.198383,<1.603481 | 24.213079>,<-56.672840 | -51.117985>,<16.635675 | 51.201485>,<-45.990135 | -31.013462>,<26.700592 | 26.700592>,<-39.882553 | -39.882553>,<83.129898 | 83.129898>,<-1.893044 | -1.893044>,<-34.017838 | -34.017838>,<-70.783936 | -70.783936>,<15.487480 | 15.487480>,<-79.049515 | -79.049515>
10,0.000000,99.000000,110.515373,79.099777,55.584816,67.831062,60.836487,53.198387,57.524597,75.858978,64.773384,53.198383,51.058655,55.789185,54.931152,53.198383,<5.561405 | 23.936689>,<-54.320992 | -48.309124>,<16.411936 | 45.420937>,<-40.838707 | -22.465931>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<83.129898 | 83.129898>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-70.783936 | -70.783936>,<15.682281 | 15.682281>,<-79.049515 | -79.049515>
11,0.000000,97.000000,106.109779,77.128075,56.231407,67.831062,60.836487,53.198387,57.524597,75.858978,64.773384,53.198383,51.058655,55.789185,54.931152,53.198383,<5.561405 | 23.936689>,<-51.969139 | -45.500267>,<16.168720 | 40.033943>,<-35.380024 | -15.608302>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<83.129898 | 83.129898>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-70.783936 | -70.783936>,<15.682281 | 15.682281>,<-79.049515 | -79.049515>
