Population size,Life span (sec),Max generations,New genes probability,Mutation rate,Selection function,Crossover operator
100,10,50,0.200000,0.010000,Roulette,One point
,,,,Tournament members,2,
,,,,,,
Generation,Death percentage,Average fitness,Top fitness,Min fitness,Average hip1 velocity,Average knee1 velocity,Average hip2 velocity,Average knee2 velocity,Top hip1 velocity,Top knee1 velocity,Top hip2 velocity,Top knee2 velocity,Min hip1 velocity,Min knee1 velocity,Min hip2 velocity,Min knee2 velocity,Average hip1 rotation,Average knee1 rotation,Average hip2 rotation,Average knee2 rotation,Top hip1 rotation,Top knee1 rotation,Top hip2 rotation,Top knee2 rotation,Min hip1 rotation,Min knee1 rotation,Min hip2 rotation,Min knee2 rotation,Best gene hip1 rotation,Best gene knee1 rotation,Best gene hip2 rotation,Best gene knee2 rotation,Best gene hip1 velocity,Best gene knee1 velocity,Best gene hip2 velocity,Best gene knee2 velocity
1,58.000000,52.650002,166.124908,43.582726,58.756657,53.791100,54.130703,53.255737,79.576187,79.860214,79.210129,78.728935,30.519741,30.142258,30.325682,30.121363,<-19.020168 | 57.272160>,<-70.435150 | -34.940670>,<-31.734463 | 57.495628>,<-77.678009 | -42.479771>,<154.614014 | 154.614014>,<-0.390453 | -0.390453>,<152.861816 | 152.861816>,<-0.494987 | -0.494987>,<-153.898010 | -153.898010>,<-152.199875 | -152.199875>,<-158.182358 | -158.182358>,<-159.014526 | -159.014526>,<11.715736 | 18.487202>,<-27.266724 | -7.516376>,<8.057831 | 14.387249>,<-30.747980 | -27.273945>,60.442059,70.075287,40.825329,43.362602
2,44.000000,57.840000,186.613144,42.264671,59.043800,53.832329,52.752907,53.963745,79.576187,79.856956,79.084373,78.728935,30.519741,30.142258,30.546522,30.121363,<-11.040257 | 55.455971>,<-66.061111 | -33.604248>,<-24.483749 | 60.238659>,<-73.607201 | -41.126530>,<154.614014 | 154.614014>,<-0.860611 | -0.860611>,<152.861816 | 152.861816>,<-0.494987 | -0.494987>,<-153.898010 | -153.898010>,<-148.502457 | -148.502457>,<-143.642441 | -143.642441>,<-159.014526 | -159.014526>,<11.715736 | 18.487202>,<-27.266724 | -7.516376>,<8.057831 | 14.387249>,<-29.859163 | -16.670864>,51.690937,67.284355,57.478798,78.131760
3,33.000000,63.709999,172.679169,45.914497,59.827793,53.975296,54.331158,53.749977,79.576187,79.856956,79.084373,78.728935,30.519741,30.142258,30.546522,30.234756,<-2.586417 | 47.470821>,<-62.120960 | -33.902157>,<-23.325970 | 54.496010>,<-69.712570 | -40.677513>,<154.614014 | 154.614014>,<-0.860611 | -0.860611>,<152.861816 | 152.861816>,<-0.494987 | -0.494987>,<-131.451294 | -131.451294>,<-147.727417 | -147.727417>,<-143.642441 | -143.642441>,<-158.921204 | -158.921204>,<11.715736 | 18.487202>,<-27.266724 | -7.516376>,<8.057831 | 14.387249>,<-29.859163 | -16.670864>,51.690937,67.284355,57.478798,78.131760
4,17.000000,76.230003,189.282501,38.593296,58.877594,54.598969,53.504410,52.606586,79.576187,79.856956,79.084373,78.728935,30.519741,30.142258,31.305632,30.234756,<-1.675321 | 42.130116>,<-55.846401 | -29.235863>,<-16.569698 | 46.144405>,<-62.623592 | -38.919117>,<154.614014 | 154.614014>,<-0.860611 | -0.860611>,<147.108124 | 147.108124>,<-0.494987 | -0.494987>,<-131.451294 | -131.451294>,<-147.727417 | -147.727417>,<-143.642441 | -143.642441>,<-158.921204 | -158.921204>,<11.715736 | 18.487202>,<-27.266724 | -7.516376>,<8.057831 | 14.387249>,<-29.859163 | -16.670864>,51.690937,67.284355,57.478798,78.131760
5,11.000000,88.669998,205.877213,47.326183,57.435989,57.329124,53.347477,53.044022,77.837479,79.856956,79.084373,78.728935,30.519741,30.142258,31.305632,30.234756,<4.555493 | 38.210342>,<-51.643169 | -29.836452>,<-11.632349 | 40.511024>,<-59.419594 | -37.064816>,<143.818024 | 143.818024>,<-1.862488 | -1.862488>,<147.108124 | 147.108124>,<-0.494987 | -0.494987>,<-58.603626 | -58.603626>,<-131.560760 | -131.560760>,<-129.623749 | -129.623749>,<-158.921204 | -158.921204>,<15.834675 | 18.497471>,<-34.813850 | -14.958946>,<6.637283 | 24.264053>,<-48.245182 | -2.647072>,76.722824,55.838081,72.539009,78.728935
6,5.000000,92.190002,204.605621,49.665577,57.291576,56.950844,54.111622,52.834839,77.837479,79.856956,79.084373,78.728935,30.519741,30.142258,31.305632,30.234756,<8.083920 | 37.165096>,<-51.120316 | -29.976404>,<-10.724831 | 37.638298>,<-62.631180 | -40.553493>,<143.818024 | 143.818024>,<-1.862488 | -1.862488>,<108.807617 | 108.807617>,<-0.494987 | -0.494987>,<-37.180119 | -37.180119>,<-130.779251 | -130.779251>,<-67.099319 | -67.099319>,<-158.921204 | -158.921204>,<15.834675 | 18.497471>,<-34.813850 | -14.958946>,<6.637283 | 24.264053>,<-48.245182 | -2.647072>,76.722824,55.838081,72.539009,78.728935
7,3.000000,93.440002,206.314087,54.195168,56.781742,57.335960,54.259960,53.112633,76.722824,79.856956,79.084373,78.728935,30.519741,30.142258,31.305632,30.234756,<5.773230 | 33.398788>,<-47.188309 | -26.786396>,<-11.122916 | 35.081432>,<-59.511353 | -39.300350>,<144.934814 | 144.934814>,<-1.862488 | -1.862488>,<108.807617 | 108.807617>,<-0.494987 | -0.494987>,<-37.180119 | -37.180119>,<-130.779251 | -130.779251>,<-91.885223 | -91.885223>,<-158.921204 | -158.921204>,<15.834675 | 18.497471>,<-34.813850 | -14.958946>,<6.637283 | 24.264053>,<-48.245182 | -2.647072>,76.722824,55.838081,72.539009,78.728935
8,0.000000,98.949997,192.104523,53.981522,56.897995,57.480854,56.780609,52.054283,76.722824,79.856956,79.084373,78.728935,30.519741,30.142258,31.305632,30.234756,<5.214617 | 27.568453>,<-45.113720 | -25.390387>,<-10.677386 | 32.751053>,<-57.593678 | -40.824978>,<88.841431 | 88.841431>,<-1.862488 | -1.862488>,<108.807617 | 108.807617>,<-0.494987 | -0.494987>,<-29.767178 | -29.767178>,<-130.779251 | -130.779251>,<-33.858299 | -33.858299>,<-158.921204 | -158.921204>,<15.834675 | 18.497471>,<-34.813850 | -14.958946>,<6.637283 | 24.264053>,<-48.245182 | -2.647072>,76.722824,55.838081,72.539009,78.728935
9,0.000000,103.589996,205.401886,42.680649,58.141865,57.660122,55.789482,52.624950,76.722824,79.856956,79.084373,78.728935,30.519741,30.142258,31.305632,31.947058,<6.403288 | 26.168491>,<-43.537212 | -24.988001>,<-9.740684 | 31.785019>,<-57.649414 | -41.960587>,<88.841431 | 88.841431>,<-1.862488 | -1.862488>,<108.807617 | 108.807617>,<-0.494987 | -0.494987>,<-29.767178 | -29.767178>,<-130.779251 | -130.779251>,<-33.858299 | -33.858299>,<-158.921204 | -158.921204>,<15.834675 | 18.497471>,<-34.813850 | -14.958946>,<6.637283 | 24.264053>,<-48.245182 | -2.647072>,76.722824,55.838081,72.539009,78.728935
10,2.000000,107.930000,203.031479,50.360291,59.398754,57.151756,55.706226,53.227726,78.654205,79.856956,79.084373,79.097336,30.519741,35.670929,31.305632,31.947058,<6.207455 | 26.430664>,<-44.171974 | -25.127396>,<-12.815780 | 33.225792>,<-56.827812 | -40.438385>,<96.659424 | 96.659424>,<-1.862488 | -1.862488>,<131.244232 | 131.244232>,<-0.494987 | -0.494987>,<-79.246605 | -79.246605>,<-130.779251 | -130.779251>,<-64.527542 | -64.527542>,<-158.921204 | -158.921204>,<15.834675 | 18.497471>,<-34.813850 | -14.958946>,<6.637283 | 24.264053>,<-48.245182 | -2.647072>,61.349171,72.892738,50.227402,77.823349
11,1.000000,108.540001,222.501953,39.319252,59.167477,57.800560,56.954243,52.521378,76.722824,79.856956,79.084373,78.728935,30.519741,35.670929,31.305632,31.947058,<5.849951 | 24.679110>,<-42.471542 | -23.428160>,<-16.322866 | 30.617975>,<-52.323921 | -35.969193>,<96.659424 | 96.659424>,<-1.862488 | -1.862488>,<131.244232 | 131.244232>,<-0.494987 | -0.494987>,<-29.767178 | -29.767178>,<-130.779251 | -130.779251>,<-64.527542 | -64.527542>,<-158.921204 | -158.921204>,<4.130318 | 24.781540>,<-37.317238 | -30.211744>,<20.263985 | 27.687431>,<-37.255188 | -27.862404>,64.596054,73.035400,56.481163,65.755501
