Population size,Life span (sec),Max generations,New genes probability,Mutation rate,Selection function,Crossover operator
100,30,200,0.200000,0.010000,Tournament,Heuristic
,,,,Tournament members,100,
,,,,,,
Generation,Death percentage,Average fitness,Top fitness,Min fitness,Average hip1 velocity,Average knee1 velocity,Average hip2 velocity,Average knee2 velocity,Top hip1 velocity,Top knee1 velocity,Top hip2 velocity,Top knee2 velocity,Min hip1 velocity,Min knee1 velocity,Min hip2 velocity,Min knee2 velocity,Average hip1 rotation,Average knee1 rotation,Average hip2 rotation,Average knee2 rotation,Top hip1 rotation,Top knee1 rotation,Top hip2 rotation,Top knee2 rotation,Min hip1 rotation,Min knee1 rotation,Min hip2 rotation,Min knee2 rotation,Best gene hip1 rotation,Best gene knee1 rotation,Best gene hip2 rotation,Best gene knee2 rotation,Best gene hip1 velocity,Best gene knee1 velocity,Best gene hip2 velocity,Best gene knee2 velocity
1,60.000004,133.279999,565.261658,146.004883,54.041451,55.043957,53.268055,54.754807,79.836044,79.954147,78.317398,79.974190,30.126900,32.079979,30.227104,30.914280,<-24.123772 | 50.226181>,<-73.102760 | -35.779804>,<-17.183788 | 52.182686>,<-69.407135 | -33.893208>,<146.173645 | 146.173645>,<-0.981731 | -0.981731>,<158.370667 | 158.370667>,<-0.055908 | -0.055908>,<-152.344208 | -152.344208>,<-159.587509 | -159.587509>,<-130.457932 | -130.457932>,<-153.028976 | -153.028976>,<6.665977 | 28.223640>,<-45.084492 | -35.028397>,<8.269558 | 37.834839>,<-12.391884 | -7.720760>,63.216843,73.741486,59.140686,65.802589
2,48.000000,160.949997,540.918945,79.504768,54.472767,54.690811,54.056042,56.248817,79.210327,79.954147,78.317398,79.974190,30.126900,31.710846,30.227104,30.914280,<-15.428539 | 53.809048>,<-74.171013 | -37.873497>,<-15.204105 | 49.267136>,<-67.504143 | -32.158272>,<157.778198 | 157.778198>,<-0.448005 | -0.448005>,<140.564087 | 140.564087>,<-0.016990 | -0.016990>,<-152.344208 | -152.344208>,<-159.587509 | -159.587509>,<-130.457932 | -130.457932>,<-157.392792 | -157.392792>,<13.191781 | 17.173910>,<-44.450256 | -7.583479>,<14.859625 | 20.247663>,<-63.243137 | -22.797588>,72.443398,42.553276,69.427155,75.918892
3,36.000000,191.139999,555.903748,30.962566,53.584427,56.967388,54.505722,57.966129,79.210327,79.954147,78.924370,79.637039,30.126900,31.690838,30.227104,30.914280,<-8.374125 | 46.380863>,<-63.780716 | -34.315987>,<-6.516085 | 46.693199>,<-63.216255 | -30.149054>,<159.692520 | 159.692520>,<-0.448005 | -0.448005>,<148.191864 | 148.191864>,<-0.045121 | -0.045121>,<-149.689072 | -149.689072>,<-159.587509 | -159.587509>,<-130.457932 | -130.457932>,<-150.468781 | -150.468781>,<2.543619 | 20.182278>,<-48.622330 | -19.543362>,<16.259285 | 37.127865>,<-38.919121 | -15.614697>,50.310638,78.057182,76.244820,76.769539
4,26.000000,211.089996,541.794922,32.230877,51.484638,57.539940,56.023170,57.842930,77.705574,79.954147,78.924370,79.611580,30.126900,31.554653,30.227104,30.914280,<-2.554019 | 39.977882>,<-54.290932 | -30.287737>,<2.720515 | 40.504078>,<-55.899326 | -27.485325>,<159.692520 | 159.692520>,<-0.288943 | -0.288943>,<148.191864 | 148.191864>,<-0.045121 | -0.045121>,<-148.890625 | -148.890625>,<-152.741562 | -152.741562>,<-123.534645 | -123.534645>,<-150.468781 | -150.468781>,<13.191781 | 17.173910>,<-44.450256 | -7.583479>,<14.859625 | 20.247663>,<-63.243137 | -22.797588>,72.443398,42.553276,69.427155,75.918892
5,16.000000,248.369995,552.824158,31.837671,53.202049,55.435268,56.671558,59.885300,79.178871,79.954147,79.974892,79.703773,30.126900,30.405125,30.227104,30.101271,<-0.876059 | 32.887131>,<-50.273048 | -29.127722>,<7.268807 | 37.871738>,<-51.538837 | -21.595144>,<157.778198 | 157.778198>,<-0.036801 | -0.036801>,<153.486069 | 153.486069>,<-0.045121 | -0.045121>,<-148.890625 | -148.890625>,<-152.203430 | -152.203430>,<-106.163994 | -106.163994>,<-144.370819 | -144.370819>,<13.191781 | 17.173910>,<-44.450256 | -7.583479>,<14.859625 | 20.247663>,<-63.243137 | -22.797588>,72.443398,42.553276,69.427155,75.918892
6,6.000000,274.570007,558.379150,54.607162,52.899170,55.417740,55.528423,59.226463,77.733795,79.954147,79.166527,79.703773,30.126900,30.405125,30.227104,30.326244,<0.808622 | 33.684654>,<-53.943993 | -33.768604>,<10.660325 | 38.754913>,<-46.638565 | -19.994133>,<157.778198 | 157.778198>,<-0.074868 | -0.074868>,<153.486069 | 153.486069>,<-0.023264 | -0.023264>,<-148.890625 | -148.890625>,<-159.651794 | -159.651794>,<-49.600746 | -49.600746>,<-144.370819 | -144.370819>,<0.015160 | 2.121887>,<-32.482742 | -24.133591>,<12.141563 | 17.328838>,<-34.794891 | -26.948557>,41.049339,36.287003,60.769165,66.774498
7,10.000000,274.260010,554.750671,1.206059,53.672905,56.022881,57.243458,60.350731,79.571266,79.954147,79.956039,79.703773,30.126900,30.117996,30.227104,30.107023,<-1.895834 | 32.956387>,<-51.347794 | -30.473366>,<9.325752 | 39.306438>,<-45.552921 | -21.469639>,<157.778198 | 157.778198>,<-0.100796 | -0.100796>,<126.722900 | 126.722900>,<-0.023264 | -0.023264>,<-148.890625 | -148.890625>,<-141.395752 | -141.395752>,<-71.694794 | -71.694794>,<-144.370819 | -144.370819>,<0.015160 | 2.121887>,<-32.482742 | -24.133591>,<12.141563 | 17.328838>,<-34.794891 | -26.948557>,41.049339,36.287003,60.769165,66.774498
8,5.000000,287.350006,555.211426,0.609367,54.738514,56.166084,56.361187,59.657856,79.844330,79.954147,79.359085,79.820663,30.126900,30.405125,30.227104,31.269417,<0.753745 | 32.495403>,<-50.845036 | -29.565264>,<11.543460 | 39.882195>,<-45.309296 | -18.700153>,<157.778198 | 157.778198>,<-0.100796 | -0.100796>,<119.456047 | 119.456047>,<-0.003198 | -0.003198>,<-128.491959 | -128.491959>,<-141.395752 | -141.395752>,<-30.979553 | -30.979553>,<-144.370819 | -144.370819>,<0.015160 | 2.121887>,<-32.482742 | -24.133591>,<12.141563 | 17.328838>,<-34.794891 | -26.948557>,41.049339,36.287003,60.769165,66.774498
9,3.000000,318.339996,598.765076,108.608337,56.462875,57.954578,58.871792,61.540417,79.844330,79.923775,79.611717,79.703773,30.126900,30.405125,30.227104,32.374493,<-0.998046 | 27.718689>,<-49.109520 | -29.133753>,<8.126535 | 36.479294>,<-42.578442 | -18.508411>,<99.211029 | 99.211029>,<-0.100796 | -0.100796>,<100.695129 | 100.695129>,<-0.023264 | -0.023264>,<-80.834671 | -80.834671>,<-141.395752 | -141.395752>,<-94.882385 | -94.882385>,<-144.370819 | -144.370819>,<2.543619 | 20.182278>,<-48.622330 | -19.543362>,<16.259285 | 37.127865>,<-38.919121 | -15.614697>,50.310638,78.057182,76.244820,76.769539
10,5.000000,330.720001,590.160950,137.454437,55.757614,59.794521,60.842796,61.795414,79.844330,79.923775,79.611717,79.806320,30.126900,30.405125,33.337910,32.374493,<-0.906659 | 26.773069>,<-48.156410 | -26.455782>,<8.453337 | 35.253597>,<-41.818657 | -17.376099>,<99.211029 | 99.211029>,<-0.100796 | -0.100796>,<128.505341 | 128.505341>,<-0.002938 | -0.002938>,<-69.254631 | -69.254631>,<-133.131836 | -133.131836>,<-59.589462 | -59.589462>,<-151.761093 | -151.761093>,<12.441557 | 26.377741>,<-49.052444 | -31.196129>,<13.646786 | 26.515165>,<-3.289963 | -0.220760>,74.486809,70.944519,75.623909,57.500114
11,2.000000,350.000000,555.907104,84.593521,55.916012,60.583168,61.710190,62.774868,79.821045,79.923775,79.611717,79.703773,30.126900,30.405125,33.337910,32.374493,<-1.668950 | 27.056028>,<-47.811886 | -27.371780>,<11.378872 | 34.942711>,<-37.832680 | -18.241764>,<117.752502 | 117.752502>,<-0.100796 | -0.100796>,<127.662460 | 127.662460>,<-0.001692 | -0.001692>,<-143.231339 | -143.231339>,<-146.314896 | -146.314896>,<-44.132172 | -44.132172>,<-138.589462 | -138.589462>,<0.256785 | 13.431520>,<-20.028522 | -17.978195>,<-6.847452 | 7.254298>,<-2.789946 | -0.002938>,79.821045,74.553215,75.654839,57.803810
