Population size,Life span (sec),Max generations,New genes probability,Mutation rate,Selection function,Crossover operator
100,30,200,0.100000,0.005000,Tournament,One point
,,,,Tournament members,2,
,,,,,,
Generation,Death percentage,Average fitness,Top fitness,Min fitness,Average hip1 velocity,Average knee1 velocity,Average hip2 velocity,Average knee2 velocity,Top hip1 velocity,Top knee1 velocity,Top hip2 velocity,Top knee2 velocity,Min hip1 velocity,Min knee1 velocity,Min hip2 velocity,Min knee2 velocity,Average hip1 rotation,Average knee1 rotation,Average hip2 rotation,Average knee2 rotation,Top hip1 rotation,Top knee1 rotation,Top hip2 rotation,Top knee2 rotation,Min hip1 rotation,Min knee1 rotation,Min hip2 rotation,Min knee2 rotation,Best gene hip1 rotation,Best gene knee1 rotation,Best gene hip2 rotation,Best gene knee2 rotation,Best gene hip1 velocity,Best gene knee1 velocity,Best gene hip2 velocity,Best gene knee2 velocity
1,64.000000,126.980003,505.507874,70.953995,52.640900,52.027687,55.279034,53.922768,77.752594,78.635712,78.983948,79.554871,30.527409,30.364557,30.250620,31.201576,<-17.774973 | 61.431915>,<-72.738594 | -38.562119>,<-25.486118 | 51.012154>,<-70.117828 | -34.364113>,<156.643433 | 156.643433>,<-0.265984 | -0.265984>,<158.514648 | 158.514648>,<-0.306309 | -0.306309>,<-157.219009 | -157.219009>,<-154.830688 | -154.830688>,<-142.135773 | -142.135773>,<-157.813187 | -157.813187>,<22.447273 | 23.281952>,<-34.483490 | -28.575489>,<6.443974 | 29.473595>,<-32.747581 | -28.823498>,34.094444,68.931282,48.544266,74.281349
2,58.000000,131.960007,503.595551,67.374329,52.299503,52.668491,55.879845,54.052540,77.752594,78.635712,78.983948,78.783287,30.527409,30.364557,30.250620,31.201576,<-18.224680 | 60.363770>,<-69.526817 | -36.683380>,<-24.365667 | 51.583515>,<-68.072357 | -34.360081>,<156.643433 | 156.643433>,<-0.265984 | -0.265984>,<158.514648 | 158.514648>,<-0.306309 | -0.306309>,<-157.219009 | -157.219009>,<-154.830688 | -154.830688>,<-142.135773 | -142.135773>,<-157.813187 | -157.813187>,<2.427345 | 19.110073>,<-24.132919 | -3.910427>,<4.290424 | 10.911526>,<-34.749725 | -28.483919>,45.014137,55.525642,38.047943,44.191006
3,55.000000,145.580002,501.579224,71.830383,53.226917,53.329758,56.226402,54.933056,77.752594,78.635712,78.983948,78.783287,30.527409,30.364557,30.250620,31.762928,<-15.740837 | 58.362518>,<-68.311211 | -35.989201>,<-19.213184 | 51.647083>,<-66.983673 | -33.658325>,<156.643433 | 156.643433>,<-0.265984 | -0.265984>,<158.514648 | 158.514648>,<-0.306309 | -0.306309>,<-157.219009 | -157.219009>,<-154.830688 | -154.830688>,<-142.135773 | -142.135773>,<-157.813187 | -157.813187>,<22.447273 | 23.281952>,<-34.483490 | -28.575489>,<6.443974 | 29.473595>,<-32.747581 | -28.823498>,34.094444,68.931282,48.544266,74.281349
4,47.000000,167.029999,509.218719,63.597813,53.078712,53.608994,55.519482,55.970211,77.752594,78.635712,78.983948,78.783287,30.527409,30.364557,30.250620,31.762928,<-14.758625 | 54.679489>,<-67.457153 | -38.344788>,<-12.531556 | 51.718929>,<-67.545113 | -31.354769>,<156.643433 | 156.643433>,<-0.265984 | -0.265984>,<158.514648 | 158.514648>,<-0.306309 | -0.306309>,<-157.219009 | -157.219009>,<-154.830688 | -154.830688>,<-129.356201 | -129.356201>,<-157.813187 | -157.813187>,<22.447273 | 23.281952>,<-34.483490 | -28.575489>,<6.443974 | 29.473595>,<-32.747581 | -28.823498>,34.094444,68.931282,48.544266,74.281349
5,40.000000,179.490005,510.395569,60.071983,53.095901,53.256989,53.876129,55.972408,77.752594,78.635712,78.886078,78.783287,30.527409,30.364557,30.250620,32.726807,<-15.404453 | 49.291344>,<-64.563972 | -37.032074>,<-8.086276 | 48.269325>,<-66.647469 | -31.221003>,<156.643433 | 156.643433>,<-2.144222 | -2.144222>,<158.514648 | 158.514648>,<-0.306309 | -0.306309>,<-157.219009 | -157.219009>,<-154.830688 | -154.830688>,<-129.356201 | -129.356201>,<-158.716110 | -158.716110>,<22.447273 | 23.281952>,<-34.483490 | -28.575489>,<6.443974 | 29.473595>,<-32.747581 | -28.823498>,34.094444,68.931282,48.544266,74.281349
6,33.000000,200.350006,511.941101,90.112877,52.412350,53.378326,54.141800,55.682236,77.752594,78.635712,78.886078,76.718826,30.527409,30.364557,30.250620,32.726807,<-13.910550 | 45.194420>,<-63.012486 | -37.449413>,<-6.647112 | 46.553623>,<-65.853897 | -32.443245>,<156.454407 | 156.454407>,<-2.144222 | -2.144222>,<158.514648 | 158.514648>,<-0.306309 | -0.306309>,<-157.219009 | -157.219009>,<-154.830688 | -154.830688>,<-129.356201 | -129.356201>,<-158.716110 | -158.716110>,<22.447273 | 23.281952>,<-34.483490 | -28.575489>,<6.443974 | 29.473595>,<-32.747581 | -28.823498>,34.094444,68.931282,48.544266,74.281349
7,24.000000,220.630005,517.175476,60.589386,52.965351,54.101208,53.843929,54.966408,76.312843,78.635712,78.886078,76.718826,30.527409,30.364557,30.250620,32.726807,<-11.519841 | 42.096970>,<-60.614380 | -38.349308>,<-3.753551 | 43.181271>,<-63.689785 | -33.207569>,<156.454407 | 156.454407>,<-2.144222 | -2.144222>,<158.514648 | 158.514648>,<-0.306309 | -0.306309>,<-157.219009 | -157.219009>,<-154.830688 | -154.830688>,<-101.237854 | -101.237854>,<-158.716110 | -158.716110>,<22.447273 | 23.281952>,<-34.483490 | -28.575489>,<6.443974 | 29.473595>,<-32.747581 | -28.823498>,34.094444,68.931282,48.544266,74.281349
8,18.000000,238.479996,508.962921,75.987396,53.179581,53.512276,54.774586,54.743858,76.312843,78.635712,78.886078,76.553856,30.527409,30.364557,30.250620,32.726807,<-7.553493 | 39.286026>,<-57.307514 | -36.311909>,<-2.721896 | 42.058697>,<-57.873539 | -29.917326>,<156.454407 | 156.454407>,<-2.144222 | -2.144222>,<158.514648 | 158.514648>,<-0.306309 | -0.306309>,<-157.219009 | -157.219009>,<-154.830688 | -154.830688>,<-101.237854 | -101.237854>,<-157.813187 | -157.813187>,<-27.728647 | 39.021011>,<-48.382004 | -24.227119>,<20.168587 | 20.674137>,<-48.302002 | -44.266132>,56.467499,45.659492,75.574043,59.031731
9,11.000000,255.630005,500.032013,75.417740,53.369225,53.127388,54.330601,54.608089,76.312843,78.635712,78.886078,76.553856,30.527409,30.364557,30.037899,32.726807,<-4.504834 | 36.369328>,<-52.316795 | -33.444038>,<-1.853786 | 40.013069>,<-54.941059 | -28.688026>,<156.454407 | 156.454407>,<-0.887169 | -0.887169>,<145.049774 | 145.049774>,<-0.170040 | -0.170040>,<-69.023788 | -69.023788>,<-154.830688 | -154.830688>,<-101.237854 | -101.237854>,<-157.813187 | -157.813187>,<-27.728647 | 39.021011>,<-48.382004 | -24.227119>,<20.168587 | 20.674137>,<-48.302002 | -44.266132>,56.467499,45.659492,75.574043,59.031731
10,5.000000,274.829987,571.549133,73.241516,54.404503,53.058762,54.620033,55.582367,76.312843,78.635712,78.886078,76.553856,30.527409,30.364557,30.037899,32.726807,<-3.090147 | 36.512020>,<-53.746307 | -35.662968>,<2.395322 | 39.859547>,<-56.223263 | -28.313370>,<156.454407 | 156.454407>,<-0.887169 | -0.887169>,<145.049774 | 145.049774>,<-1.988205 | -1.988205>,<-69.023788 | -69.023788>,<-154.830688 | -154.830688>,<-101.237854 | -101.237854>,<-157.813187 | -157.813187>,<22.447273 | 23.281952>,<-34.483490 | -28.575489>,<6.443974 | 29.473595>,<-32.747581 | -28.823498>,34.094444,68.931282,48.544266,74.281349
11,2.000000,296.920013,570.078735,153.666321,53.787704,54.748672,55.188507,56.875282,76.312843,78.635712,78.886078,76.553856,30.527409,31.289150,30.037899,32.726807,<-1.797726 | 34.815922>,<-51.420517 | -33.935101>,<6.383699 | 38.975391>,<-52.597794 | -25.041742>,<156.454407 | 156.454407>,<-0.887169 | -0.887169>,<145.049774 | 145.049774>,<-1.988205 | -1.988205>,<-39.034760 | -39.034760>,<-154.830688 | -154.830688>,<-88.511673 | -88.511673>,<-157.813187 | -157.813187>,<22.447273 | 23.281952>,<-34.483490 | -28.575489>,<6.443974 | 29.473595>,<-32.747581 | -28.823498>,34.094444,68.931282,48.544266,74.281349
12,1.000000,301.019989,496.853668,150.636673,54.551903,54.796661,55.060699,56.635155,76.312843,78.635712,78.886078,76.553856,30.527409,31.289150,30.037899,32.726807,<-4.665322 | 33.500439>,<-48.720966 | -32.944252>,<8.850468 | 36.541981>,<-48.515728 | -24.250534>,<131.563171 | 131.563171>,<-0.887169 | -0.887169>,<145.049774 | 145.049774>,<-1.988205 | -1.988205>,<-39.034760 | -39.034760>,<-154.830688 | -154.830688>,<-30.942612 | -30.942612>,<-157.813187 | -157.813187>,<-27.728647 | 39.021011>,<-48.382004 | -24.227119>,<20.168587 | 20.674137>,<-48.302002 | -44.266132>,56.467499,45.659492,75.574043,59.031731
13,1.000000,309.929993,502.918488,161.158432,53.820892,54.047482,56.581348,56.716778,77.166039,78.635712,78.886078,76.553856,32.249454,31.289150,30.037899,32.726807,<-4.983297 | 32.043266>,<-48.003399 | -32.530418>,<8.289776 | 34.360546>,<-47.907665 | -23.870564>,<131.563171 | 131.563171>,<-0.887169 | -0.887169>,<145.049774 | 145.049774>,<-1.988205 | -1.988205>,<-104.008942 | -104.008942>,<-122.141785 | -122.141785>,<-28.478771 | -28.478771>,<-157.813187 | -157.813187>,<-27.728647 | 39.021011>,<-48.382004 | -24.227119>,<20.168587 | 20.674137>,<-48.302002 | -44.266132>,43.511173,52.843082,67.563728,69.873634
14,1.000000,319.470001,503.840546,175.720047,54.064644,53.461796,56.634438,56.702614,76.312843,78.635712,78.886078,76.553856,32.249454,31.289150,30.037899,32.565086,<-3.842224 | 30.737453>,<-47.100052 | -33.268932>,<7.468634 | 34.699234>,<-45.579437 | -20.830961>,<131.563171 | 131.563171>,<-0.887169 | -0.887169>,<145.049774 | 145.049774>,<-1.988205 | -1.988205>,<-39.034760 | -39.034760>,<-122.141785 | -122.141785>,<-87.949928 | -87.949928>,<-157.813187 | -157.813187>,<-27.728647 | 39.021011>,<-48.382004 | -24.227119>,<20.168587 | 20.674137>,<-48.302002 | -44.266132>,43.511173,52.843082,67.563728,69.873634
15,1.000000,331.769989,517.063232,213.619446,53.095261,53.301563,58.192661,56.234642,76.312843,78.635712,78.886078,76.553856,32.249454,31.289150,30.037899,32.726807,<-4.095888 | 30.891079>,<-45.211517 | -30.921499>,<8.697038 | 32.929859>,<-43.709423 | -21.148403>,<131.563171 | 131.563171>,<-0.887169 | -0.887169>,<145.049774 | 145.049774>,<-1.988205 | -1.988205>,<-39.034760 | -39.034760>,<-109.741959 | -109.741959>,<-30.375341 | -30.375341>,<-157.813187 | -157.813187>,<-2.774399 | 10.240112>,<-45.369728 | -29.193228>,<-5.741119 | 14.228600>,<-21.994095 | -17.998505>,55.908707,77.305656,65.380524,66.671120
16,2.000000,329.609985,563.701294,206.824951,52.896412,53.791695,59.393375,56.180172,76.312843,78.635712,78.886078,76.553856,32.249454,31.289150,30.037899,32.726807,<-3.994594 | 32.523468>,<-47.491962 | -32.871349>,<10.007696 | 35.944237>,<-43.927547 | -21.340364>,<136.315857 | 136.315857>,<-0.887169 | -0.887169>,<152.209747 | 152.209747>,<-1.988205 | -1.988205>,<-39.034760 | -39.034760>,<-109.741959 | -109.741959>,<-100.113846 | -100.113846>,<-128.606628 | -128.606628>,<22.447273 | 23.281952>,<-34.483490 | -28.575489>,<6.443974 | 29.473595>,<-32.747581 | -28.823498>,34.094444,68.931282,48.544266,74.281349
17,2.000000,336.989990,579.322449,232.510559,52.328247,53.352551,60.037983,56.214600,76.312843,78.635712,78.886078,76.553856,32.249454,31.289150,30.037899,32.726807,<-3.873429 | 31.518187>,<-44.482288 | -29.872810>,<8.323577 | 34.166527>,<-42.451866 | -20.122450>,<136.315857 | 136.315857>,<-0.887169 | -0.887169>,<152.209747 | 152.209747>,<-1.988205 | -1.988205>,<-39.034760 | -39.034760>,<-109.741959 | -109.741959>,<-100.113846 | -100.113846>,<-128.606628 | -128.606628>,<22.447273 | 23.281952>,<-34.483490 | -28.575489>,<6.443974 | 29.473595>,<-32.747581 | -28.823498>,34.094444,68.931282,48.544266,74.281349
18,1.000000,344.059998,520.127563,232.120758,53.270809,52.825321,60.191662,56.545200,76.312843,77.683586,78.886078,76.553856,32.249454,31.289150,30.037899,32.726807,<-3.100956 | 30.362322>,<-43.226524 | -28.579748>,<9.805149 | 33.518959>,<-40.636887 | -20.152838>,<131.563171 | 131.563171>,<-0.887169 | -0.887169>,<145.049774 | 145.049774>,<-1.988205 | -1.988205>,<-39.034760 | -39.034760>,<-103.591118 | -103.591118>,<-34.073593 | -34.073593>,<-82.798645 | -82.798645>,<-27.728647 | 39.021011>,<-48.382004 | -24.227119>,<20.168587 | 20.674137>,<-48.302002 | -44.266132>,56.467499,52.843082,67.563728,69.873634
19,0.000000,348.790009,518.468811,204.589142,52.362438,53.266602,59.926273,56.966007,76.312843,77.683586,78.886078,76.553856,32.249454,31.289150,30.037899,32.726807,<-3.710589 | 28.694038>,<-42.782928 | -27.491587>,<10.077915 | 31.765322>,<-39.690819 | -20.067825>,<59.232590 | 59.232590>,<-0.887169 | -0.887169>,<145.049774 | 145.049774>,<-1.988205 | -1.988205>,<-39.034760 | -39.034760>,<-103.591118 | -103.591118>,<-28.478771 | -28.478771>,<-82.798645 | -82.798645>,<-27.728647 | 39.021011>,<-48.382004 | -24.227119>,<20.168587 | 20.674137>,<-48.302002 | -44.266132>,56.467499,52.843082,67.563728,69.873634
20,1.000000,357.309998,523.887512,272.576691,53.050575,53.767475,60.089996,57.030296,76.312843,77.683586,78.886078,76.553856,32.249454,31.289150,30.037899,32.726807,<-3.012615 | 28.475279>,<-41.848560 | -26.089966>,<10.549253 | 31.592878>,<-39.806019 | -20.157015>,<59.232590 | 59.232590>,<-0.887169 | -0.887169>,<90.605026 | 90.605026>,<-2.070610 | -2.070610>,<-39.034760 | -39.034760>,<-103.591118 | -103.591118>,<-28.319386 | -28.319386>,<-82.798645 | -82.798645>,<-27.728647 | 39.021011>,<-48.382004 | -24.227119>,<20.168587 | 20.674137>,<-48.302002 | -44.266132>,56.467499,52.843082,67.563728,69.873634
21,1.000000,357.829987,584.468506,238.069717,52.857075,54.180050,60.441376,57.247047,76.312843,77.683586,78.886078,76.553856,32.249454,31.289150,30.037899,32.844688,<-3.588917 | 28.000393>,<-41.560219 | -25.143206>,<9.308376 | 29.962315>,<-39.139381 | -19.007380>,<59.232590 | 59.232590>,<-0.887169 | -0.887169>,<83.634369 | 83.634369>,<-2.070610 | -2.070610>,<-39.034760 | -39.034760>,<-102.741776 | -102.741776>,<-15.725430 | -15.725430>,<-82.798645 | -82.798645>,<22.447273 | 23.281952>,<-34.483490 | -28.575489>,<6.443974 | 29.473595>,<-32.747581 | -28.823498>,34.094444,68.931282,48.544266,74.281349
22,1.000000,363.869995,517.028809,220.727966,53.045883,54.469604,61.441879,56.841152,76.312843,77.683586,78.886078,79.874458,32.249454,31.289150,30.037899,32.844688,<-1.968856 | 28.096586>,<-42.412724 | -25.663673>,<7.694985 | 30.550983>,<-38.856922 | -18.178947>,<110.682861 | 110.682861>,<-0.887169 | -0.887169>,<88.366928 | 88.366928>,<-2.070610 | -2.070610>,<-39.034760 | -39.034760>,<-150.773788 | -150.773788>,<-69.522232 | -69.522232>,<-82.798645 | -82.798645>,<-2.774399 | 10.240112>,<-45.369728 | -29.193228>,<-5.741119 | 14.228600>,<-21.994095 | -17.998505>,55.908707,77.305656,65.380524,66.671120
23,1.000000,366.179993,562.832092,261.527679,53.004150,54.500835,60.686058,57.388050,75.823669,77.683586,78.886078,76.553856,32.249454,31.289150,30.037899,32.844688,<-2.829809 | 26.777981>,<-40.511711 | -24.446308>,<7.893984 | 29.185390>,<-39.146248 | -18.261333>,<59.232590 | 59.232590>,<-0.887169 | -0.887169>,<83.634369 | 83.634369>,<-2.070610 | -2.070610>,<-39.034760 | -39.034760>,<-102.741776 | -102.741776>,<-15.725430 | -15.725430>,<-82.798645 | -82.798645>,<22.447273 | 23.281952>,<-34.483490 | -28.575489>,<6.443974 | 29.473595>,<-32.747581 | -28.823498>,34.094444,68.931282,48.544266,74.281349
24,0.000000,371.880005,578.284424,242.818893,51.830658,54.713943,61.328991,57.306202,75.823669,77.683586,78.886078,76.569107,32.249454,31.289150,30.037899,32.844688,<-2.993931 | 24.696222>,<-41.080238 | -25.266668>,<8.242803 | 29.281511>,<-38.995869 | -17.715900>,<59.232590 | 59.232590>,<-0.887169 | -0.887169>,<83.634369 | 83.634369>,<-2.070610 | -2.070610>,<-39.034760 | -39.034760>,<-102.741776 | -102.741776>,<-15.725430 | -15.725430>,<-82.798645 | -82.798645>,<22.447273 | 23.281952>,<-34.483490 | -28.575489>,<6.443974 | 29.473595>,<-32.747581 | -28.823498>,34.094444,68.931282,48.544266,76.553856
25,1.000000,370.179993,498.538208,273.109833,52.538158,53.526981,61.891876,57.346806,75.823669,77.683586,78.886078,76.569107,32.249454,31.289150,30.289829,30.698792,<-2.752831 | 24.670008>,<-40.173641 | -23.862425>,<6.813357 | 29.524830>,<-40.143559 | -18.772541>,<69.263428 | 69.263428>,<-0.887169 | -0.887169>,<103.447144 | 103.447144>,<-2.070610 | -2.070610>,<-62.136909 | -62.136909>,<-102.741776 | -102.741776>,<-84.662430 | -84.662430>,<-82.798645 | -82.798645>,<-27.728647 | 39.021011>,<-48.382004 | -24.227119>,<20.168587 | 20.674137>,<-48.302002 | -44.266132>,56.467499,45.659492,75.574043,59.031731
26,0.000000,379.549988,515.603210,278.468903,51.477108,52.819004,62.601860,57.371544,75.823669,77.305656,78.886078,76.569107,32.249454,31.289150,30.289829,32.844688,<-1.607162 | 23.008144>,<-39.190899 | -23.136450>,<6.473833 | 27.554886>,<-39.994957 | -18.824976>,<59.232590 | 59.232590>,<-0.887169 | -0.887169>,<83.634369 | 83.634369>,<-2.070610 | -2.070610>,<-39.034760 | -39.034760>,<-102.741776 | -102.741776>,<-15.725430 | -15.725430>,<-82.798645 | -82.798645>,<-2.774399 | 10.240112>,<-45.369728 | -29.193228>,<-5.741119 | 14.228600>,<-21.994095 | -17.998505>,55.908707,77.305656,65.380524,66.671120
27,0.000000,382.410004,586.813416,209.394516,52.026371,52.044662,62.843151,56.718124,75.823669,77.305656,78.886078,76.553856,32.249454,31.289150,30.289829,30.968981,<-1.462479 | 22.096779>,<-39.316753 | -23.830826>,<6.132826 | 28.347046>,<-39.970657 | -17.844213>,<59.232590 | 59.232590>,<-0.887169 | -0.887169>,<83.634369 | 83.634369>,<-2.070610 | -2.070610>,<-39.034760 | -39.034760>,<-102.741776 | -102.741776>,<-19.790936 | -19.790936>,<-82.798645 | -82.798645>,<22.447273 | 23.281952>,<-34.483490 | -28.575489>,<6.443974 | 29.473595>,<-32.747581 | -28.823498>,34.094444,68.931282,48.544266,76.553856
28,0.000000,393.100006,573.908569,289.195557,52.713932,50.716068,63.549694,57.309471,75.823669,77.305656,78.886078,76.553856,32.249454,31.289150,30.289829,32.844688,<1.142610 | 22.158779>,<-38.814426 | -23.658960>,<5.257257 | 28.642733>,<-39.373695 | -17.140495>,<59.232590 | 59.232590>,<-0.887169 | -0.887169>,<83.634369 | 83.634369>,<-2.070610 | -2.070610>,<-39.034760 | -39.034760>,<-102.741776 | -102.741776>,<-15.725430 | -15.725430>,<-82.798645 | -82.798645>,<22.447273 | 23.281952>,<-34.483490 | -28.575489>,<6.443974 | 29.473595>,<-32.747581 | -28.823498>,34.094444,68.931282,48.544266,76.553856
29,0.000000,389.510010,563.335266,183.851532,53.328102,49.774426,64.660774,57.346935,71.568771,77.305656,78.886078,76.553856,32.249454,31.289150,30.289829,32.844688,<1.570601 | 20.700840>,<-37.692261 | -23.227324>,<3.666869 | 27.486633>,<-38.750538 | -15.431430>,<39.998817 | 39.998817>,<-0.887169 | -0.887169>,<83.634369 | 83.634369>,<-2.070610 | -2.070610>,<-39.034760 | -39.034760>,<-102.741776 | -102.741776>,<-15.725430 | -15.725430>,<-82.072998 | -82.072998>,<22.447273 | 23.281952>,<-34.483490 | -28.575489>,<6.443974 | 29.473595>,<-41.419998 | -40.496998>,69.802155,46.949337,61.152039,76.223206
30,1.000000,399.339996,575.116028,310.725464,54.148239,50.784649,64.410576,57.170334,78.782722,77.305656,78.886078,76.553856,32.249454,31.289150,30.289829,32.844688,<2.582385 | 20.897511>,<-38.138748 | -23.752249>,<4.035526 | 28.289753>,<-38.614185 | -15.799117>,<91.408203 | 91.408203>,<-0.887169 | -0.887169>,<83.634369 | 83.634369>,<-2.070610 | -2.070610>,<-63.648014 | -63.648014>,<-102.741776 | -102.741776>,<-15.725430 | -15.725430>,<-82.072998 | -82.072998>,<22.447273 | 23.281952>,<-34.483490 | -28.575489>,<6.443974 | 29.473595>,<-32.747581 | -28.823498>,34.094444,68.931282,48.544266,76.553856
31,0.000000,401.820007,590.744751,230.483002,53.757294,50.910778,64.533844,56.442238,74.720924,76.773468,78.886078,76.553856,32.249454,31.289150,30.289829,32.844688,<3.188754 | 20.045168>,<-36.362503 | -22.799006>,<2.809830 | 27.261789>,<-38.618690 | -15.053941>,<39.417633 | 39.417633>,<-0.887169 | -0.887169>,<38.331795 | 38.331795>,<-2.070610 | -2.070610>,<-39.034760 | -39.034760>,<-49.431610 | -49.431610>,<-26.716934 | -26.716934>,<-48.302002 | -48.302002>,<0.847401 | 21.268036>,<-49.283844 | -40.086468>,<9.436073 | 20.254993>,<-46.583805 | -37.704876>,35.831341,55.263153,64.779907,76.553856
32,0.000000,423.950012,596.816528,336.862427,53.352493,52.783958,63.970356,56.936459,71.568771,76.773468,78.886078,76.553856,32.249454,31.289150,30.289829,32.844688,<3.452673 | 19.619196>,<-37.794712 | -23.929060>,<3.685778 | 27.263577>,<-38.729210 | -15.829776>,<39.021011 | 39.021011>,<-0.887169 | -0.887169>,<38.331795 | 38.331795>,<-2.070610 | -2.070610>,<-39.034760 | -39.034760>,<-49.431610 | -49.431610>,<-15.725430 | -15.725430>,<-48.302002 | -48.302002>,<0.847401 | 21.268036>,<-49.283844 | -40.086468>,<9.436073 | 20.254993>,<-46.583805 | -37.704876>,35.831341,55.263153,64.779907,76.553856
33,0.000000,413.440002,562.091797,323.895203,52.811211,53.078438,63.036972,57.492542,71.568771,76.773468,78.886078,76.553856,32.249454,31.289150,30.289829,32.844688,<4.862584 | 19.728382>,<-37.800278 | -24.227415>,<3.847509 | 27.926170>,<-38.574303 | -16.321629>,<39.021011 | 39.021011>,<-0.887169 | -0.887169>,<38.331795 | 38.331795>,<-2.070610 | -2.070610>,<-39.034760 | -39.034760>,<-49.431610 | -49.431610>,<-15.725430 | -15.725430>,<-48.302002 | -48.302002>,<22.447273 | 23.281952>,<-34.483490 | -28.575489>,<6.443974 | 29.473595>,<-41.419998 | -40.496998>,69.802155,46.949337,61.152039,76.223206
34,0.000000,430.779999,586.411499,330.679108,52.894848,53.287106,62.951218,58.692909,71.568771,76.773468,78.886078,76.553856,32.249454,31.289150,30.289829,32.844688,<6.083272 | 20.054323>,<-37.501923 | -24.189495>,<4.037225 | 28.304409>,<-38.433380 | -16.042898>,<39.021011 | 39.021011>,<-0.887169 | -0.887169>,<38.331795 | 38.331795>,<-2.070610 | -2.070610>,<-39.034760 | -39.034760>,<-49.431610 | -49.431610>,<-15.725430 | -15.725430>,<-48.302002 | -48.302002>,<22.447273 | 23.281952>,<-34.483490 | -28.575489>,<6.443974 | 29.473595>,<-32.747581 | -28.823498>,34.094444,68.931282,48.544266,76.553856
35,0.000000,442.000000,581.159729,321.596497,52.912918,54.198971,63.141937,58.768810,71.568771,76.773468,78.886078,76.553856,32.249454,31.289150,30.289829,32.844688,<6.917943 | 19.942310>,<-37.157841 | -23.738384>,<3.881538 | 27.904909>,<-38.418694 | -15.849169>,<39.021011 | 39.021011>,<-0.887169 | -0.887169>,<38.331795 | 38.331795>,<-2.070610 | -2.070610>,<-39.034760 | -39.034760>,<-49.431610 | -49.431610>,<-15.725430 | -15.725430>,<-48.302002 | -48.302002>,<0.847401 | 21.268036>,<-49.283844 | -40.086468>,<9.436073 | 20.254993>,<-46.583805 | -37.704876>,54.372360,37.156597,67.954918,59.723015
36,0.000000,429.959991,593.519348,356.922821,53.367863,54.420475,63.115211,58.811821,71.568771,76.773468,78.886078,76.553856,32.249454,31.289150,32.562012,32.844688,<7.588719 | 20.061474>,<-37.022934 | -23.884327>,<3.814758 | 27.628428>,<-38.709709 | -16.092354>,<39.021011 | 39.021011>,<-0.887169 | -0.887169>,<38.331795 | 38.331795>,<-2.070610 | -2.070610>,<-39.034760 | -39.034760>,<-49.283844 | -49.283844>,<-15.725430 | -15.725430>,<-48.302002 | -48.302002>,<0.847401 | 21.268036>,<-49.283844 | -40.086468>,<9.436073 | 20.254993>,<-46.583805 | -37.704876>,35.831341,55.263153,64.779907,76.553856
37,0.000000,434.579987,606.655762,356.053040,53.412563,53.933907,63.154629,59.019848,71.568771,76.773468,78.886078,76.553856,32.249454,31.289150,32.562012,32.844688,<8.086138 | 19.251966>,<-37.741585 | -24.410934>,<3.675300 | 27.920401>,<-38.544231 | -15.703826>,<39.021011 | 39.021011>,<-0.887169 | -0.887169>,<38.331795 | 38.331795>,<-2.070610 | -2.070610>,<-27.728647 | -27.728647>,<-49.283844 | -49.283844>,<-15.725430 | -15.725430>,<-48.302002 | -48.302002>,<0.847401 | 21.268036>,<-49.283844 | -40.086468>,<9.436073 | 20.254993>,<-46.583805 | -37.704876>,35.831341,55.263153,64.779907,76.553856
38,0.000000,454.500000,611.590942,365.034912,53.188702,54.159435,62.536530,59.708214,71.568771,76.773468,78.886078,76.553856,32.249454,31.289150,32.562012,32.844688,<8.423125 | 19.062809>,<-37.779465 | -24.458210>,<3.846560 | 28.339417>,<-38.663998 | -15.512964>,<39.021011 | 39.021011>,<-0.887169 | -0.887169>,<38.331795 | 38.331795>,<-2.070610 | -2.070610>,<-27.728647 | -27.728647>,<-49.283844 | -49.283844>,<-15.725430 | -15.725430>,<-48.302002 | -48.302002>,<0.847401 | 21.268036>,<-49.283844 | -40.086468>,<9.436073 | 20.254993>,<-46.583805 | -37.704876>,35.831341,55.263153,64.779907,76.553856
