Population size,Life span (sec),Max generations,New genes probability,Mutation rate,Selection function,Crossover operator
100,30,100,0.200000,0.100000,Roulette,One point
,,,,Roulette sections,100,
,,,,Tournament members,2,
,,,,,,
1,54.000004,141.949997,464.968201,117.388504,52.222237,56.157639,57.296211,52.169613,78.592499,79.888855,79.470879,79.327301,30.865862,30.324524,31.210165,31.167168,<-21.657351 | 54.515541>,<-72.049255 | -43.574493>,<-20.831614 | 58.907909>,<-71.422630 | -36.446598>,<154.337128 | 154.337128>,<-0.070839 | -0.070839>,<154.467010 | 154.467010>,<-0.294006 | -0.294006>,<-149.134186 | -149.134186>,<-159.497635 | -159.497635>,<-152.869217 | -152.869217>,<-154.829224 | -154.829224>
2,43.000000,171.410004,637.817444,113.034195,51.292934,57.374496,56.420860,51.826088,79.171906,79.800201,79.470879,79.327301,30.865862,30.822662,31.010378,31.300673,<-16.822865 | 48.242821>,<-65.750725 | -39.673084>,<-13.733814 | 53.792713>,<-66.266533 | -34.085526>,<154.337128 | 154.337128>,<-0.070839 | -0.070839>,<149.985779 | 149.985779>,<-0.294006 | -0.294006>,<-149.134186 | -149.134186>,<-159.497635 | -159.497635>,<-134.712463 | -134.712463>,<-154.829224 | -154.829224>
3,32.000000,202.279999,651.737122,96.737801,51.813564,57.161644,56.395763,51.909161,79.171906,79.800201,79.470879,79.327301,30.865862,30.822662,30.212816,31.300673,<-13.153750 | 46.464806>,<-63.436264 | -37.441170>,<-0.119171 | 53.470722>,<-70.005341 | -35.412415>,<150.621704 | 150.621704>,<-0.070839 | -0.070839>,<154.778229 | 154.778229>,<-0.294006 | -0.294006>,<-149.134186 | -149.134186>,<-158.662231 | -158.662231>,<-134.712463 | -134.712463>,<-154.829224 | -154.829224>
4,19.000000,231.270004,675.119751,88.684479,50.800915,56.519253,56.537376,51.183384,79.171906,79.800201,78.993752,79.327301,30.865862,30.822662,31.210165,31.300673,<-4.283750 | 40.922611>,<-59.450783 | -33.713760>,<9.915264 | 55.886086>,<-64.819725 | -32.460602>,<135.701752 | 135.701752>,<-0.070839 | -0.070839>,<157.406738 | 157.406738>,<-1.198730 | -1.198730>,<-110.136574 | -110.136574>,<-158.662231 | -158.662231>,<-97.229851 | -97.229851>,<-154.829224 | -154.829224>
5,18.000000,244.619995,646.909973,99.044327,51.624928,55.976704,58.143776,52.605743,79.171906,79.800201,78.993752,79.327301,30.865862,30.610821,31.210165,31.300673,<-3.605929 | 43.323368>,<-59.194382 | -34.757580>,<5.537890 | 53.567860>,<-63.718460 | -35.385647>,<141.676514 | 141.676514>,<-0.070839 | -0.070839>,<150.604889 | 150.604889>,<-1.198730 | -1.198730>,<-146.375259 | -146.375259>,<-154.343735 | -154.343735>,<-125.213249 | -125.213249>,<-154.829224 | -154.829224>
6,14.000000,240.229996,547.012878,59.136528,53.305954,55.533115,56.415127,52.521317,79.171906,79.800201,78.993752,79.711868,30.865862,31.113436,30.626137,31.300673,<-4.976066 | 41.294632>,<-59.312843 | -32.617916>,<6.287660 | 57.030487>,<-64.026031 | -34.917187>,<144.178528 | 144.178528>,<-0.070839 | -0.070839>,<159.005402 | 159.005402>,<-1.198730 | -1.198730>,<-146.375259 | -146.375259>,<-154.343735 | -154.343735>,<-127.177063 | -127.177063>,<-154.829224 | -154.829224>
7,11.000000,259.230011,536.347168,118.039185,52.222363,55.125889,56.687172,51.244335,79.171906,79.800201,78.993752,79.327301,30.865862,31.113436,30.626137,31.300673,<-0.844526 | 41.641857>,<-54.468693 | -29.355417>,<5.428902 | 52.437450>,<-57.570572 | -31.043943>,<158.826843 | 158.826843>,<-0.070839 | -0.070839>,<158.308258 | 158.308258>,<-1.198730 | -1.198730>,<-100.434204 | -100.434204>,<-157.714935 | -157.714935>,<-127.177063 | -127.177063>,<-154.829224 | -154.829224>
8,14.000000,264.260010,529.092712,104.455231,52.380753,55.324375,59.523125,53.030949,79.171906,79.800201,79.541214,79.327301,32.063839,31.061104,31.434282,31.359182,<3.374293 | 43.971191>,<-51.490196 | -27.360119>,<3.730582 | 46.395435>,<-56.467392 | -32.036217>,<158.826843 | 158.826843>,<-0.070839 | -0.070839>,<149.842834 | 149.842834>,<-0.747349 | -0.747349>,<-132.486938 | -132.486938>,<-136.328278 | -136.328278>,<-159.349289 | -159.349289>,<-154.829224 | -154.829224>
9,9.000000,270.910004,662.520569,129.876968,52.008522,55.178444,57.817207,52.744328,79.171906,79.800201,78.993752,79.327301,32.063839,31.061104,31.126034,31.516792,<3.943944 | 43.705421>,<-52.354927 | -28.960520>,<8.034379 | 46.058849>,<-57.035923 | -31.467119>,<158.826843 | 158.826843>,<-0.070839 | -0.070839>,<153.560242 | 153.560242>,<-0.747349 | -0.747349>,<-148.245850 | -148.245850>,<-155.096832 | -155.096832>,<-158.347366 | -158.347366>,<-157.743637 | -157.743637>
10,8.000000,301.880005,643.053528,132.408844,51.176537,55.297379,58.955963,52.558434,79.171906,79.800201,79.653885,79.327301,32.063839,30.044809,31.434282,30.038509,<3.249122 | 40.366966>,<-51.838467 | -26.290970>,<9.280993 | 43.680344>,<-56.745888 | -29.247427>,<158.826843 | 158.826843>,<-0.070839 | -0.070839>,<153.560242 | 153.560242>,<-0.747349 | -0.747349>,<-78.087456 | -78.087456>,<-150.090424 | -150.090424>,<-67.049820 | -67.049820>,<-155.873779 | -155.873779>
11,3.000000,311.380005,646.789978,115.584015,51.385056,53.345291,60.329506,53.724213,79.171906,79.800201,79.653885,79.327301,32.063839,30.044809,31.434282,30.038509,<2.287910 | 39.079689>,<-52.323437 | -28.815819>,<10.062595 | 44.170059>,<-53.283592 | -28.530939>,<158.826843 | 158.826843>,<-0.042564 | -0.042564>,<149.842834 | 149.842834>,<-0.747349 | -0.747349>,<-78.087456 | -78.087456>,<-154.007401 | -154.007401>,<-67.049820 | -67.049820>,<-154.829224 | -154.829224>
12,5.000000,315.540009,663.063538,99.027870,51.132946,54.150581,59.439732,53.129765,79.171906,79.800201,79.653885,79.327301,32.505455,30.044809,31.272419,30.038509,<4.356188 | 37.384861>,<-50.939384 | -28.612272>,<10.299241 | 42.949474>,<-51.046143 | -25.914639>,<155.721771 | 155.721771>,<-0.042564 | -0.042564>,<149.842834 | 149.842834>,<-0.747349 | -0.747349>,<-26.478851 | -26.478851>,<-150.090424 | -150.090424>,<-78.536629 | -78.536629>,<-154.829224 | -154.829224>
13,9.000000,295.380005,551.762146,116.681595,51.834332,52.436684,60.855682,52.550888,79.171906,79.800201,79.653885,77.558235,33.036358,31.113436,31.434282,30.038509,<2.659451 | 42.375294>,<-55.087143 | -30.988609>,<4.179543 | 41.106003>,<-56.595268 | -28.997665>,<152.365784 | 152.365784>,<-0.042564 | -0.042564>,<136.991455 | 136.991455>,<-0.747349 | -0.747349>,<-115.717926 | -115.717926>,<-136.328278 | -136.328278>,<-159.350494 | -159.350494>,<-158.270874 | -158.270874>
14,2.000000,326.209991,668.884338,109.826797,51.277603,54.178055,60.198578,52.817711,79.171906,79.800201,79.653885,76.399422,31.772518,31.113436,31.434282,30.038509,<6.010715 | 37.731766>,<-50.613491 | -27.746181>,<11.190041 | 38.506084>,<-53.856674 | -26.616516>,<152.365784 | 152.365784>,<-0.042564 | -0.042564>,<136.991455 | 136.991455>,<-0.747349 | -0.747349>,<-103.099472 | -103.099472>,<-136.328278 | -136.328278>,<-129.972534 | -129.972534>,<-141.424271 | -141.424271>
15,6.000000,317.760010,571.985779,105.881332,51.720409,55.565277,58.834942,53.775196,75.175430,79.800201,79.653885,77.923859,30.707172,31.113436,31.434282,30.038509,<-0.184865 | 37.824757>,<-53.578213 | -31.548193>,<7.449890 | 39.347523>,<-50.716000 | -28.247963>,<150.839020 | 150.839020>,<-0.042564 | -0.042564>,<129.211304 | 129.211304>,<-0.158485 | -0.158485>,<-157.874252 | -157.874252>,<-156.621338 | -156.621338>,<-133.160019 | -133.160019>,<-158.933731 | -158.933731>
16,7.000000,338.950012,719.702942,91.294319,53.660904,56.397461,58.416004,53.953842,79.858307,79.800201,79.653885,79.351952,30.707172,31.113436,31.434282,30.038509,<1.924106 | 38.158703>,<-55.114552 | -30.940741>,<8.321714 | 43.180195>,<-55.528210 | -28.890705>,<148.645813 | 148.645813>,<-0.042564 | -0.042564>,<121.831757 | 121.831757>,<-0.158485 | -0.158485>,<-142.083771 | -142.083771>,<-148.604263 | -148.604263>,<-149.214203 | -149.214203>,<-156.964584 | -156.964584>
17,6.000000,350.119995,659.728882,70.463257,54.781933,57.457676,59.360153,56.192280,79.858307,79.800201,79.653885,79.232559,31.772518,30.722940,31.434282,30.038509,<3.975499 | 33.463120>,<-50.773972 | -27.822302>,<8.692562 | 38.397324>,<-48.727734 | -25.588812>,<104.505585 | 104.505585>,<-0.042564 | -0.042564>,<114.910919 | 114.910919>,<-0.158485 | -0.158485>,<-88.638306 | -88.638306>,<-136.328278 | -136.328278>,<-155.470688 | -155.470688>,<-123.430313 | -123.430313>
18,9.000000,343.279999,820.268860,107.030922,55.208630,57.020584,61.560055,54.812202,79.858307,79.800201,79.653885,77.923859,31.327705,30.722940,31.434282,31.712009,<0.761933 | 34.267971>,<-51.769024 | -28.854633>,<11.699691 | 42.230423>,<-52.533146 | -29.044292>,<149.465851 | 149.465851>,<-0.042564 | -0.042564>,<156.112915 | 156.112915>,<-0.735428 | -0.735428>,<-150.082779 | -150.082779>,<-136.328278 | -136.328278>,<-95.690842 | -95.690842>,<-158.500061 | -158.500061>
19,5.000000,369.200012,727.778503,124.274803,55.314663,57.259048,60.690781,55.846691,79.858307,79.800201,79.653885,77.923859,33.036358,30.722940,31.434282,31.712009,<5.709067 | 30.945507>,<-49.882973 | -28.622620>,<13.659246 | 38.649853>,<-53.001575 | -28.803032>,<132.117035 | 132.117035>,<-0.042564 | -0.042564>,<156.112915 | 156.112915>,<-0.666977 | -0.666977>,<-66.006996 | -66.006996>,<-145.684753 | -145.684753>,<-64.420891 | -64.420891>,<-158.500061 | -158.500061>
20,6.000000,405.220001,726.780090,198.665375,56.760712,58.445538,61.737370,56.985020,79.858307,79.800201,79.653885,77.923859,33.528744,30.163988,31.434282,31.641535,<3.110514 | 29.538275>,<-45.961990 | -24.336399>,<13.760183 | 37.542538>,<-53.505753 | -27.657246>,<157.596375 | 157.596375>,<-0.042564 | -0.042564>,<156.112915 | 156.112915>,<-0.666977 | -0.666977>,<-153.860291 | -153.860291>,<-136.328278 | -136.328278>,<-64.420891 | -64.420891>,<-158.500061 | -158.500061>
21,10.000000,383.470001,666.765320,174.219681,55.306118,56.046211,61.619747,56.423649,79.858307,79.800201,79.653885,77.923859,33.528744,30.706438,30.828886,31.556622,<6.077159 | 27.413681>,<-44.763023 | -22.662060>,<10.111891 | 36.193146>,<-50.155132 | -26.676128>,<143.117096 | 143.117096>,<-0.042564 | -0.042564>,<156.112915 | 156.112915>,<-0.666977 | -0.666977>,<-89.613770 | -89.613770>,<-137.984406 | -137.984406>,<-146.221985 | -146.221985>,<-158.500061 | -158.500061>
22,10.000000,378.450012,804.305298,196.511642,53.150402,55.343506,62.333439,57.240891,79.858307,79.800201,79.653885,77.923859,33.528744,30.722940,30.828886,31.408361,<4.953905 | 28.807611>,<-45.387341 | -24.642284>,<11.511559 | 34.432220>,<-47.647266 | -22.559803>,<154.705658 | 154.705658>,<-0.042564 | -0.042564>,<123.929260 | 123.929260>,<-0.666977 | -0.666977>,<-155.588562 | -155.588562>,<-156.485825 | -156.485825>,<-126.586845 | -126.586845>,<-155.822937 | -155.822937>
23,4.000000,415.000000,685.992188,161.568375,52.802597,55.859901,60.300957,57.391869,79.858307,79.800201,79.653885,77.923859,33.372864,30.722940,30.828886,31.408361,<6.414189 | 23.741299>,<-40.749466 | -20.951088>,<9.813224 | 26.762367>,<-41.662533 | -22.533466>,<103.637222 | 103.637222>,<-0.042564 | -0.042564>,<98.902023 | 98.902023>,<-0.666977 | -0.666977>,<-81.284958 | -81.284958>,<-118.903534 | -118.903534>,<-42.689819 | -42.689819>,<-123.430313 | -123.430313>
24,5.000000,436.500000,816.757507,196.947678,55.288055,55.831612,61.276627,56.565533,79.858307,79.800201,79.653885,78.896416,34.179970,30.722940,30.828886,30.506039,<7.738482 | 27.891436>,<-42.793251 | -24.510708>,<10.249432 | 30.721556>,<-45.192154 | -23.939997>,<152.846008 | 152.846008>,<-0.042564 | -0.042564>,<159.074188 | 159.074188>,<-0.666977 | -0.666977>,<-71.551773 | -71.551773>,<-118.903534 | -118.903534>,<-147.526428 | -147.526428>,<-123.430313 | -123.430313>
25,9.000000,381.209991,683.308289,197.932205,55.838058,54.891846,58.651543,56.161312,79.858307,78.073944,79.653885,77.923859,34.179970,30.722940,30.828886,31.210274,<5.605539 | 26.724554>,<-46.154926 | -25.674444>,<8.242088 | 31.164501>,<-47.263905 | -25.503298>,<118.273590 | 118.273590>,<-0.465305 | -0.465305>,<158.249084 | 158.249084>,<-0.735428 | -0.735428>,<-105.093330 | -105.093330>,<-127.606575 | -127.606575>,<-152.132675 | -152.132675>,<-123.430313 | -123.430313>
26,9.000000,417.369995,753.376221,199.696335,57.547230,54.902367,58.546543,54.758667,79.964432,78.962067,79.653885,77.923859,34.179970,30.266577,30.828886,31.210274,<2.240088 | 26.980566>,<-45.384396 | -26.093967>,<7.493402 | 28.589472>,<-46.679512 | -29.339077>,<155.723206 | 155.723206>,<-2.357864 | -2.357864>,<129.452606 | 129.452606>,<-0.735428 | -0.735428>,<-129.249924 | -129.249924>,<-156.815125 | -156.815125>,<-101.445969 | -101.445969>,<-144.455612 | -144.455612>
27,8.000000,419.489990,785.570435,136.014816,57.468552,54.532738,56.350975,54.860039,79.858307,76.384033,79.653885,78.988373,34.680222,30.722940,30.828886,31.210274,<0.534620 | 21.767483>,<-42.821156 | -22.270134>,<8.101904 | 29.946716>,<-46.426674 | -26.115583>,<115.769470 | 115.769470>,<-2.038067 | -2.038067>,<158.959229 | 158.959229>,<-0.296799 | -0.296799>,<-136.062241 | -136.062241>,<-146.097015 | -146.097015>,<-114.102715 | -114.102715>,<-123.430313 | -123.430313>
28,11.000000,390.089996,830.160034,122.490349,59.204346,54.652279,57.024830,52.236679,79.858307,74.993301,79.653885,76.420181,31.402657,30.366070,30.828886,30.751099,<0.677221 | 21.567699>,<-45.087124 | -22.745073>,<6.544852 | 31.288452>,<-52.078075 | -30.776182>,<157.714661 | 157.714661>,<-0.505665 | -0.505665>,<158.959229 | 158.959229>,<-0.735428 | -0.735428>,<-105.673073 | -105.673073>,<-145.692566 | -145.692566>,<-157.434189 | -157.434189>,<-157.635269 | -157.635269>
