Population size,Life span (sec),Max generations,New genes probability,Mutation rate,Selection function,Crossover operator
50,20,50,0.200000,0.075000,Tournament,Average
,,,,,,
,,,,,,
Generation,Death percentage,Average fitness,Top fitness,Min fitness,Average hip1 velocity,Average knee1 velocity,Average hip2 velocity,Average knee2 velocity,Top hip1 velocity,Top knee1 velocity,Top hip2 velocity,Top knee2 velocity,Min hip1 velocity,Min knee1 velocity,Min hip2 velocity,Min knee2 velocity,Average hip1 rotation,Average knee1 rotation,Average hip2 rotation,Average knee2 rotation,Top hip1 rotation,Top knee1 rotation,Top hip2 rotation,Top knee2 rotation,Min hip1 rotation,Min knee1 rotation,Min hip2 rotation,Min knee2 rotation
1,32.000000,105.099998,249.001663,9.421443,53.891235,56.798214,52.671024,55.285851,79.934204,79.466843,78.438156,79.471680,30.895536,33.587318,30.436245,30.942904,<-34.772453 | 53.858482>,<-69.922112 | -35.231827>,<-22.200117 | 53.189598>,<-64.775116 | -26.462749>,<156.932129 | 156.932129>,<-2.032051 | -2.032051>,<141.098969 | 141.098969>,<-0.088379 | -0.088379>,<-153.662979 | -153.662979>,<-156.297745 | -156.297745>,<-154.198776 | -154.198776>,<-152.051880 | -152.051880>
2,22.000000,106.059998,236.712097,5.800938,50.519707,52.382565,50.244640,52.266136,79.367470,76.157562,78.438156,79.471680,1.162663,0.695995,3.215252,3.737406,<-29.689209 | 48.933960>,<-70.264427 | -33.342953>,<-23.876467 | 53.057053>,<-64.948616 | -29.167080>,<158.737762 | 158.737762>,<-2.032051 | -2.032051>,<152.405029 | 152.405029>,<-1.455742 | -1.455742>,<-153.662979 | -153.662979>,<-156.297745 | -156.297745>,<-154.198776 | -154.198776>,<-152.051880 | -152.051880>
3,10.000000,111.300003,243.132751,9.768860,45.669403,49.829315,45.057301,50.481323,79.965851,76.157562,78.438156,79.471680,0.062389,0.695995,2.753563,1.232067,<-28.778442 | 49.164845>,<-64.228104 | -32.036312>,<-16.221617 | 52.228100>,<-66.157516 | -31.410402>,<158.737762 | 158.737762>,<-2.032051 | -2.032051>,<141.098969 | 141.098969>,<-4.946678 | -4.946678>,<-153.662979 | -153.662979>,<-146.358490 | -146.358490>,<-154.198776 | -154.198776>,<-152.051880 | -152.051880>
4,2.000000,119.919998,236.583099,24.018192,45.337631,49.462803,44.735794,48.384071,79.367470,79.952827,78.438156,79.471680,1.331976,0.332973,2.691296,1.004780,<-23.212551 | 45.290165>,<-62.879257 | -33.542599>,<-19.769089 | 50.994736>,<-67.827423 | -34.087025>,<158.737762 | 158.737762>,<-2.032051 | -2.032051>,<150.598480 | 150.598480>,<-4.946678 | -4.946678>,<-124.438042 | -124.438042>,<-146.358490 | -146.358490>,<-154.198776 | -154.198776>,<-157.359360 | -157.359360>
5,2.000000,124.919998,236.114914,13.163732,45.523487,51.614975,45.291973,46.907578,79.367470,79.952827,78.438156,79.471680,1.615578,1.312166,1.228916,1.232067,<-14.588703 | 45.455914>,<-61.970348 | -35.148476>,<-23.236843 | 48.339249>,<-70.170700 | -35.179672>,<158.737762 | 158.737762>,<-2.032051 | -2.032051>,<150.598480 | 150.598480>,<-2.639816 | -2.639816>,<-124.438042 | -124.438042>,<-156.080643 | -156.080643>,<-154.198776 | -154.198776>,<-157.359360 | -157.359360>
6,2.000000,124.760002,208.118378,22.101471,41.325008,48.596642,44.959663,48.217842,79.367470,79.833069,78.438156,79.471680,1.615578,0.159536,1.228916,0.478350,<-13.698277 | 48.024433>,<-65.777634 | -38.388710>,<-14.931415 | 49.269917>,<-69.657394 | -32.735157>,<154.852234 | 154.852234>,<-2.032051 | -2.032051>,<140.680206 | 140.680206>,<-2.252102 | -2.252102>,<-97.723236 | -97.723236>,<-156.080643 | -156.080643>,<-154.198776 | -154.198776>,<-152.051880 | -152.051880>
7,2.000000,123.599998,196.016312,46.867405,38.175266,46.439259,41.849342,48.576366,79.367470,79.833069,78.438156,79.471680,1.247623,0.350723,0.496082,1.232067,<-9.414867 | 49.701771>,<-71.699570 | -43.302929>,<-11.564570 | 53.434696>,<-75.048210 | -35.506733>,<154.852234 | 154.852234>,<-2.032051 | -2.032051>,<140.680206 | 140.680206>,<-2.252102 | -2.252102>,<-97.723236 | -97.723236>,<-156.080643 | -156.080643>,<-154.198776 | -154.198776>,<-152.051880 | -152.051880>
8,2.000000,120.800003,196.396286,16.451859,42.238739,43.810738,45.852097,51.386452,79.367470,79.833069,79.629517,79.471680,1.247623,0.706852,0.496082,1.693865,<-13.039088 | 46.209740>,<-69.628273 | -40.035881>,<-13.670890 | 49.942772>,<-70.706703 | -33.988049>,<151.323883 | 151.323883>,<-2.526947 | -2.526947>,<158.441803 | 158.441803>,<-2.086071 | -2.086071>,<-98.163757 | -98.163757>,<-156.080643 | -156.080643>,<-154.198776 | -154.198776>,<-152.051880 | -152.051880>
9,2.000000,122.800003,194.177750,13.394856,43.104614,43.397472,46.252953,49.520287,79.367470,79.833069,79.629517,79.471680,0.072578,2.121054,0.496082,1.693865,<-13.787919 | 46.592098>,<-71.642464 | -40.248688>,<-14.625056 | 53.341625>,<-72.010109 | -34.939293>,<151.323883 | 151.323883>,<-3.757278 | -3.757278>,<140.680206 | 140.680206>,<-2.086071 | -2.086071>,<-98.163757 | -98.163757>,<-156.080643 | -156.080643>,<-154.198776 | -154.198776>,<-152.051880 | -152.051880>
10,2.000000,123.580002,195.283737,9.948013,44.032753,44.002132,45.679462,49.596733,79.367470,79.480591,79.629517,79.471680,1.724794,3.173758,0.100422,0.178406,<-8.303549 | 53.353870>,<-79.263046 | -40.456436>,<-26.991812 | 59.609638>,<-78.369507 | -41.399677>,<151.323883 | 151.323883>,<-3.757278 | -3.757278>,<140.680206 | 140.680206>,<-2.086071 | -2.086071>,<-96.837692 | -96.837692>,<-156.362045 | -156.362045>,<-154.198776 | -154.198776>,<-152.051880 | -152.051880>
11,6.000000,116.400002,197.591003,10.055637,45.956059,44.127544,49.302502,48.724785,79.367470,79.480591,79.629517,79.471680,1.724794,2.009457,0.100422,1.542751,<-12.422556 | 55.199520>,<-76.610138 | -39.494217>,<-22.440620 | 60.560665>,<-77.507858 | -41.469936>,<151.323883 | 151.323883>,<-0.680767 | -0.680767>,<140.680206 | 140.680206>,<-2.086071 | -2.086071>,<-133.279633 | -133.279633>,<-158.793427 | -158.793427>,<-154.198776 | -154.198776>,<-152.051880 | -152.051880>
