Population size,Life span (sec),Max generations,New genes probability,Mutation rate,Selection function,Crossover operator
100,30,200,0.200000,0.010000,Tournament,Heuristic
,,,,Tournament members,100,
,,,,,,
Generation,Death percentage,Average fitness,Top fitness,Min fitness,Average hip1 velocity,Average knee1 velocity,Average hip2 velocity,Average knee2 velocity,Top hip1 velocity,Top knee1 velocity,Top hip2 velocity,Top knee2 velocity,Min hip1 velocity,Min knee1 velocity,Min hip2 velocity,Min knee2 velocity,Average hip1 rotation,Average knee1 rotation,Average hip2 rotation,Average knee2 rotation,Top hip1 rotation,Top knee1 rotation,Top hip2 rotation,Top knee2 rotation,Min hip1 rotation,Min knee1 rotation,Min hip2 rotation,Min knee2 rotation,Best gene hip1 rotation,Best gene knee1 rotation,Best gene hip2 rotation,Best gene knee2 rotation,Best gene hip1 velocity,Best gene knee1 velocity,Best gene hip2 velocity,Best gene knee2 velocity
1,63.000000,115.610001,531.656616,110.575279,54.977783,53.679718,57.787521,55.815659,79.543503,79.266953,79.267090,79.725876,30.428186,30.618114,30.257816,30.360346,<-27.715612 | 53.165283>,<-74.787270 | -41.539440>,<-24.387615 | 54.653919>,<-73.812965 | -36.928104>,<154.864044 | 154.864044>,<-0.639107 | -0.639107>,<155.852417 | 155.852417>,<-0.304905 | -0.304905>,<-148.848511 | -148.848511>,<-151.835175 | -151.835175>,<-159.896057 | -159.896057>,<-158.478577 | -158.478577>,<1.377655 | 22.114620>,<-33.735306 | -13.123058>,<-15.548803 | 26.677475>,<-45.469788 | -2.945732>,62.313694,63.856365,41.461838,75.155273
2,49.000000,137.509995,527.431458,109.752640,54.865036,53.153248,56.262184,55.056068,79.160339,79.381233,79.267090,79.725876,30.428186,30.457031,30.257816,30.466499,<-19.757372 | 56.585537>,<-84.945358 | -50.350399>,<-22.717928 | 58.568237>,<-80.637932 | -39.534393>,<154.864044 | 154.864044>,<-0.201335 | -0.201335>,<154.819885 | 154.819885>,<-0.304905 | -0.304905>,<-149.414108 | -149.414108>,<-155.666794 | -155.666794>,<-159.896057 | -159.896057>,<-159.909210 | -159.909210>,<1.377655 | 22.114620>,<-33.735306 | -13.123058>,<-15.548803 | 26.677475>,<-45.469788 | -2.945732>,62.313694,63.856365,41.461838,75.155273
3,43.000000,154.559998,557.731201,1.511385,54.088558,53.265514,55.732544,54.508785,79.160339,79.381233,79.267090,79.357880,30.530266,30.457031,30.257816,30.126513,<-1.796727 | 55.802979>,<-80.440681 | -50.217770>,<-6.879022 | 60.417709>,<-79.057610 | -39.421745>,<154.864044 | 154.864044>,<-0.132826 | -0.132826>,<157.640594 | 157.640594>,<-0.085703 | -0.085703>,<-134.032776 | -134.032776>,<-155.811661 | -155.811661>,<-141.211197 | -141.211197>,<-159.609070 | -159.609070>,<24.713827 | 24.741179>,<-18.410732 | -1.157205>,<11.128187 | 29.991444>,<-30.378639 | -0.576663>,48.467342,79.142677,64.791328,75.001038
4,31.000000,182.139999,549.067444,68.034309,54.414520,53.088657,55.576439,54.431164,78.791122,79.267624,79.267090,78.996109,30.519020,30.457031,30.257816,30.126513,<9.917508 | 53.237812>,<-74.852760 | -44.459911>,<3.058802 | 61.294991>,<-73.460022 | -37.588505>,<154.864044 | 154.864044>,<-0.132826 | -0.132826>,<157.640594 | 157.640594>,<-0.001269 | -0.001269>,<-119.527634 | -119.527634>,<-155.811661 | -155.811661>,<-118.023285 | -118.023285>,<-158.275940 | -158.275940>,<24.713827 | 24.741179>,<-18.410732 | -1.157205>,<11.128187 | 29.991444>,<-30.378639 | -0.576663>,48.467342,79.142677,64.791328,75.001038
5,20.000000,203.690002,550.032104,0.032738,56.319111,52.782700,57.606220,52.888783,79.138947,79.267624,79.956291,78.996109,30.519020,30.457031,30.084223,30.443287,<11.639562 | 48.253315>,<-73.191994 | -42.552837>,<2.397057 | 57.135899>,<-68.917183 | -35.169727>,<148.064240 | 148.064240>,<-0.132826 | -0.132826>,<159.328537 | 159.328537>,<-0.001269 | -0.001269>,<-87.572037 | -87.572037>,<-157.185684 | -157.185684>,<-119.715965 | -119.715965>,<-158.275940 | -158.275940>,<24.713827 | 24.741179>,<-18.410732 | -1.157205>,<11.128187 | 29.991444>,<-30.378639 | -0.576663>,48.467342,79.142677,64.791328,75.001038
6,11.000000,223.270004,550.693604,129.290878,55.393745,53.567875,58.768883,52.781307,79.189857,79.474838,79.956291,78.996109,30.404474,30.457031,30.084223,30.443287,<16.433496 | 51.994488>,<-75.713959 | -43.113075>,<3.725869 | 55.345848>,<-70.928719 | -36.744118>,<149.309052 | 149.309052>,<-0.145919 | -0.145919>,<156.233322 | 156.233322>,<-0.001269 | -0.001269>,<-87.572037 | -87.572037>,<-159.600174 | -159.600174>,<-136.969803 | -136.969803>,<-159.603546 | -159.603546>,<24.713827 | 24.741179>,<-18.410732 | -1.157205>,<11.128187 | 29.991444>,<-30.378639 | -0.576663>,48.467342,79.142677,64.791328,75.001038
7,9.000000,240.809998,536.576965,70.896095,55.939018,54.186680,60.954655,52.762367,79.523972,79.775551,79.956291,79.569733,30.404474,31.073223,30.594442,30.042149,<21.982874 | 58.302635>,<-76.561996 | -44.432793>,<4.304685 | 60.614658>,<-71.142723 | -36.417637>,<155.533539 | 155.533539>,<-0.145919 | -0.145919>,<159.802856 | 159.802856>,<-0.048593 | -0.048593>,<-87.572037 | -87.572037>,<-159.600174 | -159.600174>,<-136.969803 | -136.969803>,<-159.730408 | -159.730408>,<24.713827 | 24.741179>,<-18.410732 | -1.157205>,<11.128187 | 29.991444>,<-30.378639 | -0.576663>,48.467342,79.142677,64.791328,75.001038
8,9.000000,256.809998,543.210144,166.932327,56.867855,56.903442,62.462555,55.287418,79.719696,79.959335,79.956291,79.569733,30.404474,32.474796,30.198883,30.042149,<28.069963 | 63.237221>,<-78.781128 | -45.829697>,<7.419302 | 66.108070>,<-79.758499 | -39.059071>,<159.199310 | 159.199310>,<-0.074950 | -0.074950>,<159.802856 | 159.802856>,<-0.048593 | -0.048593>,<-98.318199 | -98.318199>,<-159.600174 | -159.600174>,<-156.856354 | -156.856354>,<-159.809006 | -159.809006>,<24.713827 | 24.741179>,<-18.410732 | -1.157205>,<11.128187 | 29.991444>,<-30.378639 | -0.576663>,48.467342,79.142677,64.791328,75.001038
9,8.000000,264.679993,555.042542,0.347778,57.606079,57.413120,62.835972,57.450218,79.583397,79.946732,79.956291,79.965225,30.404474,31.928059,30.594442,30.042149,<32.507328 | 62.999180>,<-75.165985 | -45.625465>,<6.696224 | 63.527401>,<-81.612297 | -39.944542>,<155.107437 | 155.107437>,<-0.007448 | -0.007448>,<159.819641 | 159.819641>,<-0.048593 | -0.048593>,<-55.361519 | -55.361519>,<-159.600174 | -159.600174>,<-136.969803 | -136.969803>,<-159.730408 | -159.730408>,<24.713827 | 24.741179>,<-18.410732 | -1.157205>,<11.128187 | 29.991444>,<-30.378639 | -0.576663>,48.467342,79.142677,64.791328,75.001038
10,6.000000,283.510010,604.378174,0.104431,58.514236,58.173878,63.067539,57.674835,79.199791,79.946732,79.956291,79.569733,30.404474,34.082958,30.594442,30.042149,<41.328060 | 69.473343>,<-83.880836 | -55.113682>,<14.467162 | 74.617950>,<-88.445702 | -41.854332>,<159.151993 | 159.151993>,<-0.023757 | -0.023757>,<159.825073 | 159.825073>,<-0.048593 | -0.048593>,<-113.942673 | -113.942673>,<-159.600174 | -159.600174>,<-136.969803 | -136.969803>,<-159.755310 | -159.755310>,<24.094337 | 28.184481>,<-16.238094 | -0.023757>,<10.691523 | 29.808611>,<-30.401005 | -0.572720>,74.284859,79.862167,60.606716,78.281593
11,8.000000,276.019989,547.331116,135.472839,58.264320,57.830498,65.273453,58.404415,79.525436,79.946732,79.848991,79.874710,30.404474,34.057365,31.537359,30.223286,<48.158745 | 71.394821>,<-86.283760 | -61.465961>,<15.159437 | 81.834587>,<-93.886406 | -42.484604>,<159.151993 | 159.151993>,<-0.023757 | -0.023757>,<159.984863 | 159.984863>,<-0.048593 | -0.048593>,<-130.598770 | -130.598770>,<-159.600174 | -159.600174>,<-136.969803 | -136.969803>,<-159.868729 | -159.868729>,<24.713827 | 24.741179>,<-18.410732 | -1.157205>,<11.128187 | 29.991444>,<-30.378639 | -0.576663>,48.467342,79.142677,64.791328,75.001038
12,5.000000,284.739990,553.645447,2.232325,59.729771,58.327137,66.569519,55.335445,79.393074,79.946732,79.842148,79.976677,30.130959,34.082958,31.537359,30.044483,<48.160732 | 72.767326>,<-90.017433 | -64.454239>,<13.826843 | 80.536781>,<-97.104759 | -42.879833>,<159.875198 | 159.875198>,<-0.023757 | -0.023757>,<159.984863 | 159.984863>,<-0.304905 | -0.304905>,<-128.425003 | -128.425003>,<-159.821594 | -159.821594>,<-136.969803 | -136.969803>,<-159.891357 | -159.891357>,<24.713827 | 24.741179>,<-18.410732 | -1.157205>,<11.128187 | 29.991444>,<-30.378639 | -0.576663>,48.467342,79.142677,64.791328,75.001038
13,11.000000,283.589996,596.900940,136.915817,60.891735,60.411186,65.875275,55.496750,79.752525,79.957863,79.842148,79.569733,30.214075,34.082958,30.230057,30.044483,<42.075001 | 63.912075>,<-86.906433 | -61.990566>,<8.019753 | 74.356995>,<-88.698624 | -37.694683>,<159.151993 | 159.151993>,<-0.023757 | -0.023757>,<159.984863 | 159.984863>,<-0.026967 | -0.026967>,<-158.485519 | -158.485519>,<-159.809494 | -159.809494>,<-143.963440 | -143.963440>,<-159.891357 | -159.891357>,<19.768780 | 19.902086>,<-25.464083 | -1.565941>,<11.642839 | 30.370777>,<-17.214325 | -2.837336>,70.301575,75.490555,67.818604,50.754639
14,10.000000,288.390015,594.789978,88.997086,62.185699,60.565826,66.166695,57.310116,79.199791,79.946732,79.842148,79.569733,30.404474,34.082958,31.537359,30.044483,<49.703697 | 70.310654>,<-84.839149 | -61.655006>,<7.973583 | 81.524284>,<-93.310890 | -38.532684>,<157.543411 | 157.543411>,<-0.023757 | -0.023757>,<159.984863 | 159.984863>,<-0.026967 | -0.026967>,<-98.683029 | -98.683029>,<-159.809494 | -159.809494>,<-136.969803 | -136.969803>,<-159.891357 | -159.891357>,<19.768780 | 19.902086>,<-25.464083 | -1.565941>,<11.642839 | 30.370777>,<-17.214325 | -2.837336>,70.301575,75.490555,67.818604,50.754639
15,8.000000,288.790009,588.915344,54.871330,61.685860,62.599228,67.375496,56.842026,79.199791,79.946732,79.842148,79.569733,30.404474,34.082958,31.537359,30.044483,<51.090763 | 71.648598>,<-85.741096 | -63.426205>,<12.785029 | 79.808098>,<-93.456123 | -39.213810>,<159.568314 | 159.568314>,<-0.023757 | -0.023757>,<159.984863 | 159.984863>,<-0.026967 | -0.026967>,<-109.403778 | -109.403778>,<-159.906815 | -159.906815>,<-146.227051 | -146.227051>,<-159.935547 | -159.935547>,<19.768780 | 19.902086>,<-25.464083 | -1.565941>,<11.642839 | 30.370777>,<-17.214325 | -2.837336>,70.301575,75.490555,67.818604,50.754639
16,10.000000,301.589996,594.010620,197.296402,61.657703,60.738281,66.654884,58.556381,79.945786,79.946732,79.842148,79.610146,30.404474,30.076721,31.537359,30.044483,<46.603062 | 69.730171>,<-86.142128 | -60.632153>,<14.560990 | 79.056007>,<-93.578987 | -40.062313>,<157.660065 | 157.660065>,<-0.023757 | -0.023757>,<159.984863 | 159.984863>,<-0.008773 | -0.008773>,<-114.742752 | -114.742752>,<-159.809494 | -159.809494>,<-95.382446 | -95.382446>,<-159.891357 | -159.891357>,<19.768780 | 19.902086>,<-25.464083 | -1.565941>,<11.642839 | 30.370777>,<-17.214325 | -2.837336>,70.301575,75.490555,67.818604,50.754639
17,6.000000,318.989990,600.690491,212.342163,62.959789,62.375141,67.702660,57.923618,79.945786,79.946732,79.842148,79.569733,30.404474,31.089951,31.537359,30.443287,<50.872452 | 72.218147>,<-88.634758 | -64.067894>,<13.379228 | 84.047653>,<-95.001633 | -39.060905>,<157.588394 | 157.588394>,<-0.023757 | -0.023757>,<159.984863 | 159.984863>,<-0.026967 | -0.026967>,<-151.220078 | -151.220078>,<-159.980469 | -159.980469>,<-150.348083 | -150.348083>,<-159.891357 | -159.891357>,<24.094337 | 28.184481>,<-16.238094 | -0.023757>,<10.691523 | 29.808611>,<-30.401005 | -0.572720>,74.284859,79.862167,60.606716,78.281593
