"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"4T6NBUBG","journalArticle","2008","Johnny Huynh","Separating Axis Theorem for Oriented Bounding Boxes","","","","","","","2008-12-16","2020-10-28 21:53:36","2020-11-12 12:44:15","","45","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\ruben\Zotero\storage\GPFDZV2B\Huynh - Separating Axis Theorem for Oriented Bounding Boxe.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U8VBBPPP","journalArticle","2008","David Eberly","Dynamic Collision Detection using Oriented Bounding Boxes","","","","","","","2008-03-02","2020-10-28 21:59:18","2020-11-12 12:45:58","","40","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\ruben\Zotero\storage\2JWI9K36\Eberly - Dynamic Collision Detection using Oriented Boundin.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIRWW3Z4","book","2020","Joey de Vries","Learn OpenGL: Learn modern OpenGL graphics programming in a step-by-step fashion.","","978-90-90-33256-7","","","","Graphics programmers are often coined the 'wizards' of the game industry. As every magician knows, terms like wizardry and magic are often somewhat exaggerated. Yet, there is a certain charm to graphics programming: the ability to conjure up complete living worlds at our fingertips.Learn OpenGL will teach you the basics, the intermediate, and tons of advanced knowledge, using modern (core-profile) OpenGL. The aim of this book is to show you all there is to modern OpenGL in an easy-to-understand fashion, with clear examples and step-by-step instructions, while also providing a useful reference for later studies.After years of continuous work and improvements on the accompanying website learnopengl.com, with the help of thousands of readers, its content has been professionally revised for this physical copy you now find in your hands.Graphics programming isn't as hard as many people make it out to be... you just need to start.","2020-06-17","2020-10-28 22:09:54","2020-10-30 11:42:36","","","522","","","","","Learn OpenGL","","","","","","","Inglés","","","","","Amazon","","","","","https://www.amazon.com/dp/9090332561/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MP43JD76","book","2013","Bjarne Stroustrup","A Tour of C++","","978-0-321-95831-0","","","","The C++11 standard allows programmers to express ideas more clearly, simply, and directly, and to write faster, more efficient code. Bjarne Stroustrup, the designer and original implementer of C++, thoroughly covers the details of this language and its use in his definitive reference, The C++ Programming Language, Fourth Edition. In A Tour of C++, Stroustrup excerpts the overview chapters from that complete reference, expanding and enhancing them to give an experienced programmer-in just a few hours-a clear idea of what constitutes modern C++. In this concise, self-contained guide, Stroustrup covers most major language features and the major standard-library components-not, of course, in great depth, but to a level that gives programmers a meaningful overview of the language, some key examples, and practical help in getting started. Stroustrup presents the C++ features in the context of the programming styles they support, such as object-oriented and generic programming. His tour is remarkably comprehensive. Coverage begins with the basics, then ranges widely through more advanced topics, including many that are new in C++11, such as move semantics, uniform initialization, lambda expressions, improved containers, random numbers, and concurrency. The tour ends with a discussion of the design and evolution of C++ and the extensions added for C++11. This guide does not aim to teach you how to program (see Stroustrup's Programming: Principles and Practice Using C++ for that); nor will it be the only resource you'll need for C++ mastery (see Stroustrup's The C++ Programming Language, Fourth Edition, for that). If, however, you are a C or C++ programmer wanting greater familiarity with the current C++ language, or a programmer versed in another language wishing to gain an accurate picture of the nature and benefits of modern C++, you can't find a shorter or simpler introduction than this tour provides.","2013-10-03","2020-10-28 22:21:04","2020-10-30 11:42:33","","","192","","","","","","","","","","","Upper Saddle River, NJ","Inglés","","","","","Amazon","","","","","https://www.amazon.es/Tour-C-Depth/dp/0321958314","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X9HUY43C","book","1998","Melanie Mitchell","An Introduction to Genetic Algorithms","","978-0-262-63185-3","","","","Genetic algorithms have been used in science and engineering as adaptive algorithms for solving practical problems and as computational models of natural evolutionary systems. This brief, accessible introduction describes some of the most interesting research in the field and also enables readers to implement and experiment with genetic algorithms on their own. It focuses in depth on a small set of important and interesting topics--particularly in machine learning, scientific modeling, and artificial life--and reviews a broad span of research, including the work of Mitchell and her colleagues. The descriptions of applications and modeling projects stretch beyond the strict boundaries of computer science to include dynamical systems theory, game theory, molecular biology, ecology, evolutionary biology, and population genetics, underscoring the exciting ""general purpose"" nature of genetic algorithms as search methods that can be employed across disciplines. An Introduction to Genetic Algorithms is accessible to students and researchers in any scientific discipline. It includes many thought and computer exercises that build on and reinforce the reader's understanding of the text. The first chapter introduces genetic algorithms and their terminology and describes two provocative applications in detail. The second and third chapters look at the use of genetic algorithms in machine learning (computer programs, data analysis and prediction, neural networks) and in scientific models (interactions among learning, evolution, and culture; sexual selection; ecosystems; evolutionary activity). Several approaches to the theory of genetic algorithms are discussed in depth in the fourth chapter. The fifth chapter takes up implementation, and the last chapter poses some currently unanswered questions and surveys prospects for the future of evolutionary computation.","1998","2020-10-30 11:33:33","2020-10-30 11:42:42","","","226","","","","","","","","","","MIT Press","","en","","","","","Google Books","","","","","https://books.google.es/books?id=0eznlz0TF-IC","","Computers / Intelligence (AI) & Semantics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I8IIJD62","journalArticle","2000","Juan Carlos Pozas Bustos; Nieves Vázquez Vázquez","Algoritmos Genéticos. Aplicación al Juego de las N Reinas.","","","","","","","2000","2020-10-30 11:36:26","2020-11-12 12:47:52","","10","","","","","","","","","","","","","es","","","","","Zotero","","","","C:\Users\ruben\Zotero\storage\IW7I65VV\Bustos y Vázquez - Algoritmos Genéticos. Aplicación al Juego de las N.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EBCPUGV8","journalArticle","2011","Takeyas, Bruno López","INTRODUCCIÓN A LA INTELIGENCIA ARTIFICIAL","","","","","","","2011-08-16","2020-10-30 13:11:35","2020-11-29 10:46:42","","3","","","","","","","","","","","","","es","","","","","Zotero","","","","C:\Users\ruben\Zotero\storage\WIIR5W3J\Takeyas - INTRODUCCIÓN A LA INTELIGENCIA ARTIFICIAL.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KBK9CQHB","journalArticle","2010","Nazif, Habibeh; Lee, Lai Soon","Optimized Crossover Genetic Algorithm for Vehicle Routing Problem with Time Windows","American Journal of Applied Sciences","","","","","Problem statement: In this study, we considered the application of a genetic algorithm to vehicle routing problem with time windows where a set of vehicles with limits on capacity and travel time are available to service a set of customers with demands and earliest and latest time for serving. The objective is to find routes for the vehicles to service all the customers at a minimal cost without violating the capacity and travel time constraints of the vehicles and the time window constraints set by the customers. Approach: We proposed a genetic algorithm using an optimized crossover operator designed by a complete undirected bipartite graph that finds an optimal set of delivery routes satisfying the requirements and giving minimal total cost. Various techniques have also been introduced into the proposed algorithm to further enhance the solutions quality. Results: We tested our algorithm with benchmark instances and compared it with some other heuristics in the literature. The results showed that the proposed algorithm is competitive in terms of the quality of the solutions found. Conclusion/Recommendations: This study presented a genetic algorithm for solving vehicle routing problem with time windows using an optimized crossover operator. From the results, it can be concluded that the proposed algorithm is competitive when compared with other heuristics in the literature.","2010-01-01","2020-11-03 14:13:48","2020-11-03 14:13:48","","","","","7","","American Journal of Applied Sciences","","","","","","","","","","","","","ResearchGate","","","","","https://www.researchgate.net/profile/Lai_Soon_Lee/publication/46179093_Optimized_Crossover_Genetic_Algorithm_for_Vehicle_Routing_Problem_with_Time_Windows/links/0c9605350911daebbb000000.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LJCQL5EH","journalArticle","2015","Dr. Anantkumar Umbarkar; P. Sheth","CROSSOVER OPERATORS IN GENETIC ALGORITHMS: A REVIEW","ICTACT Journal on Soft Computing ( Volume: 6 , Issue: 1 )","","","10.21917/ijsc.2015.0150","","The performance of Genetic Algorithm (GA) depends on various operators. Crossover operator is one of them. Crossover operators are mainly classified as application dependent crossover operators and application independent crossover operators. Effect of crossover operators in GA is application as well as encoding dependent. This paper will help researchers in selecting appropriate crossover operator for better results. The paper contains description about classical standard crossover operators, binary crossover operators, and application dependant crossover operators. Each crossover operator has its own advantages and disadvantages under various circumstances. This paper reviews the crossover operators proposed and experimented by various researchers.","2015-10-01","2020-11-03 14:51:51","2020-11-03 14:52:05","","","","","6","","ICTACT Journal on Soft Computing ( Volume: 6 , Issue: 1 )","CROSSOVER OPERATORS IN GENETIC ALGORITHMS","","","","","","","","","","","","ResearchGate","","","","C:\Users\ruben\Zotero\storage\LFTUBCSN\Umbarkar y Sheth - 2015 - CROSSOVER OPERATORS IN GENETIC ALGORITHMS A REVIE.pdf; ","https://www.researchgate.net/publication/288749263_CROSSOVER_OPERATORS_IN_GENETIC_ALGORITHMS_A_REVIEW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZTUT4V4X","conferencePaper","2000","R. L. Haupt","Optimum population size and mutation rate for a simple real genetic algorithm that optimizes array factors","IEEE Antennas and Propagation Society International Symposium. Transmitting Waves of Progress to the Next Millennium. 2000 Digest. Held in conjunction with: USNC/URSI National Radio Science Meeting (C","","","10.1109/APS.2000.875398","","There has been an explosion of papers describing applications of a genetic algorithm (GA) to electromagnetics problems. Most of the work has followed traditional GA philosophy when choosing the population size and mutation rate of the genetic algorithm. This paper reports the results of experiments to determine the optimum population size and mutation rate for a simple real genetic algorithm. The choice of population size and mutation rate can cause the run time of the GA to vary by several orders of magnitude. The results of this investigation show that a small population size and relatively large mutation rate is far superior to the large population sizes and low mutation rates that is used by most of the papers presented in the electromagnetics community and by the GA community at large. The results of the numerical experiments presented in this paper suggest that the best mutation rate for GAs lies between 5 and 20% while the population size should be less than 16.","2000-07","2020-11-06 09:17:14","2020-11-06 09:17:36","","1034-1037 vol.2","","","2","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\ruben\Zotero\storage\VSI7MX7Y\Haupt - 2000 - Optimum population size and mutation rate for a si.pdf; C:\Users\ruben\Zotero\storage\9GGUGU9B\875398.html","","","antenna phased arrays; antenna radiation patterns; Application software; array factors; Displays; Electromagnetics; electromagnetics problems; Explosions; genetic algorithm; genetic algorithms; Genetic algorithms; Genetic mutations; Helium; linear antenna array; linear antenna arrays; numerical experiments; optimum mutation rate; optimum population size; phase weights; Phased arrays; run time; sidelobe level; simple real genetic algorithm; Vectors; Wheels","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IEEE Antennas and Propagation Society International Symposium. Transmitting Waves of Progress to the Next Millennium. 2000 Digest. Held in conjunction with: USNC/URSI National Radio Science Meeting (C","","","","","","","","","","","","","","",""
